Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 14	Boston Patriots	W 35–7	Mile High Stadium	1–0	43,482
2	September 21	New York Jets	W 21–19	Mile High Stadium	2–0	50,583
3	September 28	at Buffalo Bills	L 28–41	War Memorial Stadium	2–1	40,302
4	October 5	Kansas City Chiefs	L 13–26	Mile High Stadium	2–2	50,564
5	October 12	Oakland Raiders	L 14–24	Mile High Stadium	2–3	49,511
6	October 19	at Cincinnati Bengals	W 30–23	Nippert Stadium	3–3	27,920
7	October 26	at Houston Oilers	L 21–24	Astrodome	3–4	45,348
8	November 2	San Diego Chargers	W 13–0	Mile High Stadium	4–4	45,511
9	November 9	at Oakland Raiders	L 10–41	Oakland-Alameda County Coliseum	4–5	54,416
10	November 16	Houston Oilers	T 20–20	Mile High Stadium	4–5–1	45,002
11	November 23	at San Diego Chargers	L 24–45	San Diego Stadium	4–6–1	34,664
12	November 27	at Kansas City Chiefs	L 17–31	Municipal Stadium	4–7–1	48,773
13	December 7	at Miami Dolphins	L 24–27	Miami Orange Bowl	4–8–1	25,332
14	December 14	Cincinnati Bengals	W 27–16	Mile High Stadium	5–8–1	42,198
