Song	Singer	Co-Singers	Music Director	Lyricist	Co-Stars	Movie/Album	Year	Additional Info
Suno Suno Hey Pandit Logo… Badla Sara Zamana Babu	Mohammed Rafi	Asha Bhosle	C. Ramchandra	Kavi Pradeep	Minu Mumtaz	Paigham	1959	Sellsman Describing Others' Business Ethics
Mere Dil Pe Laga Le Darling Apne Naam Ki Chhith	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Qamar Jalalabadi	Kammoo	Basant	1960	Tribal Attire but English Words and Tune
Chori Chori Ik Ishara Ho Gaya Hai (Part II)	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Qamar Jalalabadi	Nutan	Basant	1960	Ending Verses are by Shammi Kapoor
Yeh Raat Aashiqana Chhaya Sama Suhana	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Jan Nisar Akhtar	Kum Kum	Naya Andaz	1956	Club Dance
Suno Suno Miss Chatterjee	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Aziz Kashmiri	Kavita	Baharein Phir Bhi Aayegi	1966	English Words and Spellings
Chhedo Dhun Matwalon Ki	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	Kum Kum	Ghar Sansar	1958	Ending Verses are by Rajendra Kumar
Mohabbat Yun Hi Hoti Hai	Mohammed Rafi	Asha Bhosle	Datta Naik	Sahir Ludhianvi	Unknown	Marine Drive	1956	Ending Stranza is by Johnny Walker
Tod Diya Chashma Mera and Oye Hum Hai Tere Deewane	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Qamar Jalalabadi	Smriti Biswas	Modern Girl	1961	N/A
Aaj Ka Din Bhi Phika Phika	Mohammed Rafi	Asha Bhosle	Sachin Dev Burman	Majrooh Sultanpuri	Sabita Chatterjee	Baat Ek Raat Ki	1962	N/A
Beikhtiar Hoke Pyar Ka Shikar Hoke	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Hasrat Jaipuri	Shyama	Johny Walker	1957	Movie Name After His Filmy Name
Adaayein Jab Ho Lachhedar	Mohammed Rafi	Asha Bhosle	Madan Mohan Kohli	Rajendra Krishan	Shyama	Khota Paisa	1958	N/A
Main To Baanke Nainowali	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Jan Nisar Akhtar	Shyama	Chhoo Mantar	1956	N/A
Hont Gulabi Gaal Katore Naina Suramedan	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	Unknown	Ghar Sansar	1958	Bhangara
Tere Latka Laga Hai Latka	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	Kum Kum	Ghar Ki Laj	1960	Bhangara
Char Batti Ka Nishan Neeche Paan Ki Dukan	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	Sheela Kashmiri	Ghar Ki Laj	1960	N/A
Zamana Pyar Ka	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	Sheila Kashmiri	Pehli Raat	1959	Drunkard Groom
Kadki Tera Hi Naam Hai Ladki	Mohammed Rafi	Asha Bhosle	Roshan Lal	Prem Dhawan	Geeta Bali and Tun Tun	Aji Bas Shukriya	1958	Ghulam Mohammad Sang for Tun Tun
Main Main Qartoon (Part I)	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Hasrat Jaipuri	Shyama and Kum Kum	Mr. Qartoon M. A.	1958	Sung by Shamshad Begum
Main Main Qartoon (Part II)	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Hasrat Jaipuri	Shyama, Kum Kum and Mehmood	Mr. Qartoon M. A.	1958	Alaaps Sung by Shamshad Begum
Hum Ko Duaayein Do Tumhein Qatil Bana Diya	Mohammed Rafi	Asha Bhosle	Ravi ShankarSharma (Bombay Ravi)	Majrooh Sultanpuri	Sheela Kashmiri and Unknown	Pehli Raat	1958	Qawali also Sung by Sudha Malhotra
Are Hum Ne Unke Samne Dil Rakh Diya	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Qamar Jalalabadi	Kammoo and Shammi Kapoor	Basant	1960	Qawali also Sung by S. D. Batish
Hum Bhi Agar Bachche Hote (Happy Birthday To You)	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Shakeel Badayuni	Saira Banu and Joy Mukherjee	Door Ki Awaz	1964	Birthday Song also Sung by Manna Dey
Dil De De Nahin Nahin Dil Le Le	Mohammed Rafi	Asha Bhosle	Laxmikant-Pyarelal	Aand Bakshi	Helen	Jaal	1967	Beach and Tennis Outfits
Yeh Powder Yeh Surkhiyan	Mohammed Rafi	Asha Bhosle	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	Unknown	Pehli Raat	1959	Not Sure if it was in Final Film Release
Duniya Pakki Four Twe-Enty	Mohammed Rafi	Asha Bhosle	O. P. Nayyar	Qamar Jalalabadi	Unknown	Basant	1960	Not Sure if it was in Final Film Release
