DVD Season	Format	# Episodes	# Disc(s)	Region 4
The Complete Season 1	DVD	22	6	2December2009
The Complete Season 1	Blu-ray	22	6	N/A
The Complete Season 2	DVD	22	6	3November2010
The Complete Season 2	Blu-ray	22	6	3November2010
The Complete Season 3	DVD	22	6	20April2011
The Complete Season 3	Blu-ray	22	6	N/A
Season 4: Part 1	DVD	11	3	3November2011
Season 4: Part 1	Blu-ray	11	3	N/A
Season 4: Part 2	DVD	11	3	28March2012
Season 4: Part 2	Blu-ray	11	3	N/A
The Complete Season 4	DVD	22	6	28March2012
The Complete Season 4	Blu-ray	22	6	N/A
The Complete Season 5	DVD	22	6	2May2013
The Complete Season 5	Blu-ray	22	6	N/A
The Complete Season 6	DVD	12	4	7November2013
The Complete Season 6	Blu-ray	12	4	N/A
