Countries and Territories	Conditions of access	Length of stay permitted	Fee (if applicable)	Access using a Croatian identity card
European Union	visa-free	Freedom of movement	n/a	Yes
Albania	visa-free	90 days	n/a	Yes
Andorra	visa-free	90 days	n/a	Yes
Bosnia and Herzegovina	visa-free	90 days	n/a	Yes
Faroe Islands	visa-free	90 days	n/a	Yes
Guernsey	visa-free	unlimited access	n/a	Yes
Iceland	visa-free	Freedom of movement	n/a	passport required
Isle of Man	visa-free	unlimited access	n/a	Yes
Jersey	visa-free	unlimited access	n/a	Yes
Kosovo	visa-free	90 days	n/a	Yes
Liechtenstein	visa-free	Freedom of movement	n/a	Yes
Monaco	visa-free	90 days	n/a	Yes
Macedonia	visa-free	90 days	n/a	Yes
Moldova	visa-free	90 days	n/a	passport required
Montenegro	visa-free	90 days	n/a	Yes
Norway	visa-free	Freedom of movement	n/a	passport required
San Marino	visa-free	90 days	n/a	Yes
Serbia	visa-free	90 days	n/a	Yes
Switzerland	visa-free	Freedom of movement	n/a	passport required
Ukraine	visa-free	90 days	n/a	passport required
