Date	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
May 6	1L	$27 No Limit Hold'em [6-max]	Blackbeaty	$74,008	25,520	$638,000	[2-Day] event
May 6	1M	$215 No Limit Hold'em [6-max]	Heminsley	$123,868.99*	5,423	$1,084,600	[2-Day] event
May 6	1H	$2,100 No Limit Hold'em [6-max]	Allingomes ( Alexandre Gomes )	$282,240	784	$1,568,000	[2-Day] event
May 6	2L	$27 No Limit Hold'em	Soco2l	$42,239.91*	28,876	$721,900	[2-Day] event
May 6	2M	$215 No Limit Hold'em	Isildur1 ( Viktor Blom )	$247,200	8,240	$1,648,000	[2-Day] event
May 6	2H	$2,100 No Limit Hold'em	greezhool	$220,517.13*	966	$1,932,000.00	[2-Day] event
May 7	3L	$5.50 No Limit Hold'em w/rebuys [6-max]	Respect4life	$40,292.83	20,244 (38,211R, 10,526 A)	$344,905	[2-Day] event
May 7	3M	$55 No Limit Hold'em w/rebuys [6-max]	FlashYy	$80,224.05	2,985 (5,336 R, 1866 A)	$509,350	[2-Day] event
May 7	3H	$530 No Limit Hold'em w/rebuys [6-max]	Isildur1 (Viktor Blom)	$160,000	486 (740 R, 374 A)	$800,000	[2-Day] event
May 7	4L	$27 Fixed-Limit Badugi	drkamikaze1	$9,003.72*	2,303	$57,575	13 h 19 min
May 7	4M	$215 Fixed-Limit Badugi	Foofighterer	$13,244	344	$68,800	12 h 08 min
May 7	4H	$2,100 Fixed-Limit Badugi	caprioli (Rodrigo Caprioli)	$39,900	57	$114,000	13 h 04 min
May 7	5L	$11 No Limit Hold'em w/rebuys [Turbo]	evanski	$61,071.66	12,545 (23,302 R, 7,889 A)	$447,360	5 h 25 min
May 7	5M	$109 No Limit Hold'em w/rebuys [Turbo]	Sr amarillo	$99,913.65*	2,251 (4,103 R, 1,647 A)	$800,100	4 h 45min
May 7	5H	$1,050 No Limit Hold'em w/rebuys [Turbo]	joacowalter	$204,212.50	389 (524 R, 312 A)	$1,225,000	4 h 09 min
May 8	6L	$11 No Limit 5 Card Draw	Born2Ca$h	$7,449.46	4,883	$48,830	13 h 09 min
May 8	6M	$109 No Limit 5 Card Draw	trinec	$9,464.15*	611	$61,100	13 h 28 min
May 8	6H	$1,050 No Limit 5 Card Draw	Maestro Shao	$22,890	84	$84,000	13 h 53 min
