Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
18	December 1	Miami	L 129–130 (OT)	Jamal Crawford (40)	Andris Biedriņš (15)	Oracle Arena 18,723	5–13
19	December 5	@ Houston	L 112–131 (OT)	Stephen Jackson (26)	Corey Maggette (10)	Toyota Center 14,438	5–14
20	December 6	@ San Antonio	L 88–123 (OT)	Brandan Wright (13)	Andris Biedriņš (8)	AT&T Center 17,740	5–15
21	December 8	@ Oklahoma City	W 112–102 (OT)	Jamal Crawford (19)	Andris Biedriņš (21)	Ford Center 17,854	6–15
22	December 10	Milwaukee	W 119–96 (OT)	Stephen Jackson (21)	Andris Biedriņš (14)	Oracle Arena 18,375	7–15
23	December 12	Houston	L 108–119 (OT)	Andris Biedriņš (18)	Andris Biedriņš (12)	Oracle Arena 19,276	7–16
24	December 13	@ Denver	L 105–123 (OT)	Jamal Crawford (25)	Rob Kurz , Andris Biedriņš (7)	Pepsi Center 15,322	7–17
25	December 15	Orlando	L 98–109 (OT)	Andris Biedriņš (23)	Kelenna Azubuike (10)	Oracle Arena 18,844	7–18
26	December 17	@ Indiana	L 120–127 (OT)	Jamal Crawford (29)	Andris Biedriņš (10)	Conseco Fieldhouse 11,151	7–19
27	December 19	@ Atlanta	L 99–115 (OT)	Marco Belinelli (27)	Andris Biedriņš (15)	Philips Arena 16,768	7–20
28	December 20	@ Charlotte	W 110–103 (OT)	Jamal Crawford (50)	Kelenna Azubuike (13)	Time Warner Cable Arena 13,068	8–20
29	December 22	@ Orlando	L 81–113 (OT)	Jamal Crawford (18)	Anthony Randolph (12)	Amway Arena 17,461	8–21
30	December 23	@ Miami	L 88–96 (OT)	C. J. Watson (18)	Kelenna Azubuike , Andris Biedriņš (9)	American Airlines Arena 17,862	8–22
31	December 26	Boston	W 99–89 (OT)	Stephen Jackson (28)	Ronny Turiaf (8)	Oracle Arena 19,596	9–22
32	December 28	@ L.A. Lakers	L 113–130 (OT)	Jamal Crawford (22)	Andris Biedriņš (17)	Staples Center 18,997	9–23
33	December 29	Toronto	W 117–111 (OT)	Stephen Jackson (30)	Andris Biedriņš (15)	Oracle Arena 19,596	10–23
34	December 31	@ Oklahoma City	L 100–107 (OT)	Kelenna Azubuike (24)	Andris Biedriņš (13)	Ford Center 18,229	10–24
