NSG Nr.	Name of the nature reserve	District / Town	Area (ha)	Date established
1	Nord-Sylt	Nordfriesland	1.785,87	19800523 23.05.1980
2	Os bei Süderbrarup	Schleswig-Flensburg	26,88	20030812 12.08.2003
3	Oehe– Schleimünde Bird Sanctuary	Schleswig-Flensburg	366,04	19870714 14.07.1987
4	Salemer Moor and surrounding woods and lakes	Herzogtum Lauenburg	690,56	20060705 05.07.2006
5	Hamburger Hallig	Nordfriesland	501,74	19300416 16.04.1930
6	Tetenhusen Moor	Schleswig-Flensburg	208,80	19320303 03.03.1932
8	Geltinger Birk	Schleswig-Flensburg	767,58	19861223 23.12.1986
9	Kampener Vogelkoje on Sylt	Nordfriesland	9,91	19350318 18.03.1935
10	Nordspitze Amrum on the island of Amrum	Nordfriesland	67,84	19361029 29.10.1936
11	Sorgwohld	Rendsburg-Eckernförde	39,16	19361106 06.11.1936
13	Fröruper Berge	Schleswig-Flensburg	85,71	19361202 02.12.1936
14	Wattenmeer north of the Hindenburg Dyke	Nordfriesland	626,70	19821111 02.12.1936
15	Düne am Treßsee	Schleswig-Flensburg	10,27	19370520 20.05.1937
16	Rickelsbüller Koog	Nordfriesland	517,09	19821111 11.11.1982
17	Grüner Brink	Ostholstein	140,37	19891222 22.12.1989
18	Reher Kratt	Steinburg	15,23	19380131 31.01.1938
19	Herrenmoor bei Kleve	Steinburg	219,89	19851223 23.12.1985
20	Wittmoor	Dithmarschen	249,04	19921125 25.11.1992
21	Lütjenholmer Heidedünen	Nordfriesland	18,46	19380222 22.02.1938
22	Heathland near Kellinghusen	Steinburg	15,30	19380302 02.03.1938
23	Hahnheide	Stormarn	1.375,49	19380302 02.03.1938
24	Düne am Rimmelsberg	Schleswig-Flensburg	6,21	19380620 20.06.1938
25	Lebrade Pond Bird Sanctuary	Plön	144,09	19380618 18.06.1938
26	Bordelum Heath and Langenhorn Heath and environs	Nordfriesland	196,94	19911216 16.12.1991
27	Kleve	Dithmarschen	13,07	19621108 08.11.1962
28	Süderlügumer Binnendünen	Nordfriesland	39,33	19381107 07.11.1938
29	Peninsula and bights in the Lanker See	Plön	209,43	19950117 17.01.1995
30	Barker Heide	Segeberg	629,57	20030612 12.06.2003
31	Pobüller Bauernholz	Schleswig-Flensburg	4,44	19390301 01.03.1939
32	Barkauer See and environs	Ostholstein	134,77	19821111 11.11.1982
33	Süderberge near Süderlügum	Nordfriesland	9,10	19381107 07.11.1938
34	Haseldorfer Binnenelbe mit Elbvorland	Pinneberg	2.060,66	19870412 12.04.1987
36	Löwenstedter Sandberge	Nordfriesland	14,54	19390710 10.07.1939
37	Bottsand	Plön	90,27	19871105 05.11.1987
38	Heidmoor	Segeberg	68,76	19910902 16.12.1991
39	Hechtmoor	Schleswig-Flensburg	34,37	19410902 02.09.1941
40	Groß Wittenseer Moor	Rendsburg-Eckernförde	15,73	19420225 25.02.1942
41	Kaltenhofer Moor	Rendsburg-Eckernförde	52,23	19420225 25.02.1942
42	Weißenhäuser Brök	Ostholstein	59,17	19420819 19.08.1942
43	Halloher Moor, Brandsheide and Könster Moor	Segeberg	50,20	19421209 09.12.1942
44	Ihlsee und Ihlwald	Segeberg	42,16	19500321 21.03.1950
45	Dithmarscher Eidervorland mit Watt	Dithmarschen, Nordfriesland	794,67	19891222 22.12.1989
46	Haithabu – Dannewerk	Schleswig-Flensburg	88,10	19520922 22.09.1952
47	Hoisdorfer Teiche	Stormarn	29,89	19871120 20.11.1987
48	Neßsand	Pinneberg	10,99	19520830 30.08.1952
49	Bokelhomer Fischteiche	Rendsburg-Eckernförde	368,00	19930430 30.04.1993
50	Westufer des s Einfelder See	Stadt Neumünster	12,39	19871112 12.11.1987
51	Ascheberger Warder im Großen Plöner See	Plön	10,67	19550426 26.04.1955
52	Dellstedter Birkwildmoor	Dithmarschen	618,58	19570123 23.01.1957
53	Kleiner Binnensee and adjacent salt meadows	Plön	108,49	19570225 25.02.1957
54	Methhorstteich and Rümlandteich	Rendsburg-Eckernförde	45,21	19570920 20.09.1957
55	Dummersdorfer Ufer	Stadt Lübeck	337,08	19911213 13.12.1991
57	Eichkratt Schirlbusch	Nordfriesland	12,17	19590220 20.02.1959
58	Wesseker See	Ostholstein	238,58	19610203 03.02.1961
59	Bewerlohmoor	Segeberg	2,75	19610206 06.02.1961
60	Rantumbecken	Nordfriesland	566,77	19831129 29.11.1983
62	Lummenfelsen der Insel Helgoland	Pinneberg	1,07	19640508 08.05.1964
63	Esprehmer Moor	Schleswig-Flensburg	37,54	19650729 29.07.1965
64	Ahrenviölfelder Westermoor	Nordfriesland	66,44	19891024 24.10.1989
65	Wulfsfelder Moor	Segeberg	6,33	19620727 27.07.1962
66	Geschendorfer Moor	Segeberg	11,81	19660217 17.02.1966
67	Schwarzberger Moor	Nordfriesland	17,40	19660217 17.02.1966
68	Lundtop	Schleswig-Flensburg	13,92	19670608 08.06.1967
69	Graswarder Heiligenhafen	Ostholstein	228,49	19871229 29.12.1987
70	Tröndelsee und Umgebung	Stadt Kiel	28,25	19830926 26.09.1983
71	Erlenbruch	Nordfriesland	4,71	19680802 02.08.1968
72	Schwansmoor und Kranichmoor	Nordfriesland	80,16	19680801 01.08.1968
73	Morsum -Kliff	Nordfriesland	43,20	19680809 09.08.1968
74	Stellbrookmoor	Segeberg	34,69	19681014 14.10.1968
75	er Amrum Dünen	Nordfriesland	711,46	19710319 19.03.1971
76	Oberalsterniederung	Segeberg, Stormarn	907,90	20040707 07.07.2004
77	Oldensworter Vorland	Nordfriesland	265,54	19931216 16.12.1993
78	er Rantum Dünen/Sylt	Nordfriesland	349,88	19731202 02.12.1973
79	Hörnum –Odde/Sylt	Nordfriesland	66,67	19721202 02.12.1972
81	Mittlerer Stocksee und Umgebung	Segeberg	96,44	19741202 03.04.1974
82	Ahrensviöler Südermoor	Nordfriesland	7,24	19721202 02.12.1972
83	Delver Koog	Dithmarschen	190,07	19760924 24.09.1976
84	Rixdorfer Teich und Umgebung	Plön	115,29	19740329 29.03.1974
85	Wester-Spätinge	Nordfriesland	27,04	19780209 09.02.1978
86	Nordfriesisches Wattenmeer	Nordfriesland	4.495,78	19820823 23.08.1982
87	Reesholm/ Schlei	Schleswig-Flensburg	117,36	19760830 30.08.1976
88	Pugumer See und Umgebung	Schleswig-Flensburg	89,72	19780105 05.01.1978
89	Wallnau /Fehmarn	Ostholstein	298,55	19771223 23.12.1977
90	Krummsteert –Sulsdorfer Wiek/Fehmarn	Ostholstein	342,45	19801009 09.10.1980
91	Helgoländer Felssockel	Pinneberg	5.467,11	19810424 24.04.1981
92	Brenner Moor	Stormarn	22,84	19781020 20.10.1978
93	Nordteil des s Selenter See und Umgebung	Plön	760,22	19781115 15.11.1978
94	Seedorfer See und Umgebung	Segeberg	177,68	19780213 13.01.1978
95	Stellmoor –Ahrensburger Tunneltal	Stormarn	334,05	19820816 16.08.1982
96	Nielönn/Sylt	Nordfriesland	67,39	19790305 05.03.1979
97	er Braderup Heide/Sylt	Nordfriesland	127,23	19790305 05.03.1979
98	Baakdeel– Rantum /Sylt	Nordfriesland	202,96	19790305 05.03.1979
