Locale	Skip	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
China	Wang Bingyu	57	43	6	18	80%
Canada	Jennifer Jones	46	43	13	9	84%
Switzerland	Mirjam Ott	51	46	7	11	81%
Japan	Moe Meguro	49	45	17	13	77%
Denmark	Angelina Jensen	44	51	16	7	79%
Sweden	Stina Viktorsson	45	51	10	7	80%
United States	Debbie McCormick	51	52	6	13	78%
Russia	Ludmila Privivkova	45	48	11	12	78%
Germany	Andrea Schöpp	49	45	17	14	77%
Scotland	Gail Munro	43	48	17	8	77%
Italy	Diana Gaspari	45	47	14	10	74%
Czech Republic	Kateřina Urbanová	40	46	16	10	72%
