Date	Venue	Score	Result	Competition
5 April 2000	Dongdaemun Stadium , Seoul	1–0	2–0	2000 AFC Asian Cup qualification
10 October 2003	Bukit Jalil Stadium , Kuala Lumpur	1–3	1–3	2004 AFC Asian Cup qualification
24 October 2003	Bahrain National Stadium , Riffa	1–0	2–1	2004 AFC Asian Cup qualification
12 December 2004	Bukit Jalil Stadium , Kuala Lumpur	1–0	1–0	Tiger Cup 2004
16 December 2004	Bukit Jalil Stadium , Kuala Lumpur	1–0	3–1	Tiger Cup 2004
29 December 2004	KLFA Stadium , Cheras	1–1	3–4	Tiger Cup 2004
29 December 2004	KLFA Stadium , Cheras	3–4	3–4	Tiger Cup 2004
2 January 2005	National Stadium , Singapore	1–0	2–4	Tiger Cup 2004
27 August 2006	Shah Alam Stadium , Shah Alam	2–1	2–1	2006 Merdeka Tournament
29 August 2006	Shah Alam Stadium , Shah Alam	2–0	2–1	2006 Merdeka Tournament
20 August 2007	MBPJ Stadium , Petaling Jaya	1–0	1–0	2007 Merdeka Tournament
31 July 2008	Gachibowli Athletic Stadium , Hyderabad	3–0	3–0	2008 AFC Challenge Cup
2 August 2008	Gachibowli Athletic Stadium , Hyderabad	1–0	3–1	2008 AFC Challenge Cup
22 August 2008	Gelora Bung Karno Stadium , Jakarta	3–1	7–1	Independence Cup 2008
18 November 2008	Thuwunna Stadium , Yangon	1–0	4–1	2008 Myanmar Grand Royal Challenge Cup
18 November 2008	Thuwunna Stadium , Yangon	2–0	4–1	2008 Myanmar Grand Royal Challenge Cup
18 November 2008	Thuwunna Stadium , Yangon	3–1	4–1	2008 Myanmar Grand Royal Challenge Cup
21 November 2008	Thuwunna Stadium , Yangon	1–0	2–1	2008 Myanmar Grand Royal Challenge Cup
21 November 2008	Thuwunna Stadium , Yangon	2–1	2–1	2008 Myanmar Grand Royal Challenge Cup
