Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
15005	P	Saint-Irénée	60.29	685	Charlevoix-Est	03
15013	V	La Malbaie	470.57	9,121	Charlevoix-Est	03
15025	M	Notre-Dame-des-Monts	56.15	843	Charlevoix-Est	03
15030	M	Saint-Aimé-des-Lacs	101.57	1,016	Charlevoix-Est	03
15035	V	Clermont	52.99	3,057	Charlevoix-Est	03
15058	M	Saint-Siméon	289.73	1,422	Charlevoix-Est	03
15065	M	Baie-Sainte-Catherine	232.16	254	Charlevoix-Est	03
16005	M	Petite-Rivière-Saint-François	135.66	732	Charlevoix	03
16013	V	Baie-Saint-Paul	546.73	7,365	Charlevoix	03
16023	M	L'Isle-aux-Coudres	29.54	1,304	Charlevoix	03
16048	M	Les Éboulements	153.99	1,258	Charlevoix	03
16050	P	Saint-Hilarion	97.77	1,111	Charlevoix	03
16055	P	Saint-Urbain	327.68	1,465	Charlevoix	03
20005	M	Saint-François-de-l'Île-d'Orléans	30.76	528	L'Île-d'Orléans	03
20010	P	Sainte-Famille	46.43	869	L'Île-d'Orléans	03
20015	M	Saint-Jean-de-l'Île-d'Orléans	43.64	897	L'Île-d'Orléans	03
20020	M	Saint-Laurent-de-l'Île-d'Orléans	35.32	1,576	L'Île-d'Orléans	03
20025	M	Saint-Pierre-de-l'Île-d'Orléans	31.13	1,877	L'Île-d'Orléans	03
20030	VL	Sainte-Pétronille	4.50	1,034	L'Île-d'Orléans	03
21005	M	Saint-Tite-des-Caps	130.01	1,442	La Côte-de-Beaupré	03
21010	M	Saint-Ferréol-les-Neiges	82.28	2,283	La Côte-de-Beaupré	03
21015	P	Saint-Louis-de-Gonzague-du-Cap-Tourmente	0.00	2	La Côte-de-Beaupré	03
21020	P	Saint-Joachim	40.68	1,472	La Côte-de-Beaupré	03
21025	V	Beaupré	22.53	2,946	La Côte-de-Beaupré	03
21030	V	Sainte-Anne-de-Beaupré	64.38	2,781	La Côte-de-Beaupré	03
21035	V	Château-Richer	228.99	3,599	La Côte-de-Beaupré	03
21040	M	L'Ange-Gardien	50.67	3,011	La Côte-de-Beaupré	03
21045	M	Boischatel	19.64	5,020	La Côte-de-Beaupré	03
22005	V	Sainte-Catherine-de-la-Jacques-Cartier	120.61	5,111	La Jacques-Cartier	03
22010	V	Fossambault-sur-le-Lac	10.96	1,151	La Jacques-Cartier	03
22015	V	Lac-Saint-Joseph	32.81	201	La Jacques-Cartier	03
22020	M	Shannon	61.79	4,159	La Jacques-Cartier	03
22025	M	Saint-Gabriel-de-Valcartier	441.17	2,561	La Jacques-Cartier	03
22030	V	Lac-Delage	1.46	506	La Jacques-Cartier	03
22035	CU	Stoneham-et-Tewkesbury	684.75	5,976	La Jacques-Cartier	03
22040	M	Lac-Beauport	62.72	6,254	La Jacques-Cartier	03
22045	V	Sainte-Brigitte-de-Laval	111.49	3,789	La Jacques-Cartier	03
23015	P	Notre-Dame-des-Anges	0.06	485	Not part of a RCM	03
23027	V	Quebec City	451.79	496,257	Not part of a RCM	03
23057	V	L'Ancienne-Lorette	8.02	16,726	Not part of a RCM	03
23072	V	Saint-Augustin-de-Desmaures	84.94	17,191	Not part of a RCM	03
34007	V	Neuville	72.04	3,708	Portneuf	03
34017	V	Pont-Rouge	121.02	7,712	Portneuf	03
34025	V	Donnacona	20.12	5,635	Portneuf	03
34030	V	Cap-Santé	54.38	2,567	Portneuf	03
34038	V	Saint-Basile	97.69	2,731	Portneuf	03
34048	V	Portneuf	110.43	3,166	Portneuf	03
34058	M	Deschambault-Grondines	123.60	2,036	Portneuf	03
34060	P	Saint-Gilbert	36.95	276	Portneuf	03
34065	V	Saint-Marc-des-Carrières	16.73	2,839	Portneuf	03
34078	M	Saint-Casimir	65.93	1,512	Portneuf	03
34085	P	Saint-Thuribe	50.81	304	Portneuf	03
34090	M	Saint-Ubalde	141.28	1,447	Portneuf	03
34097	M	Saint-Alban	150.55	1,143	Portneuf	03
34105	M	Sainte-Christine-d'Auvergne	145.58	362	Portneuf	03
34115	M	Saint-Léonard-de-Portneuf	138.71	993	Portneuf	03
34120	V	Lac-Sergent	3.52	280	Portneuf	03
34128	V	Saint-Raymond	684.65	9,298	Portneuf	03
34135	M	Rivière-à-Pierre	521.31	655	Portneuf	03
