Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
58	March 2	Atlanta	98–88	Pierce (30)	Garnett (16)	Rondo (8)	TD Banknorth Garden 18,624	46–12
59	March 5	Detroit	90–78	Garnett (31)	Perkins (20)	Allen , Pierce , Rondo (5)	TD Banknorth Garden 18,624	47–12
60	March 7	Chicago	116–93	Pierce (22)	Perkins (11)	House , Pierce (5)	TD Banknorth Garden 18,624	48–12
61	March 8	@ Memphis	119–89	Allen (23)	Perkins (11)	Rondo (9)	FedExForum 18,119	49–12
62	March 10	@ Philadelphia	100–86	Garnett (26)	Garnett (12)	Rondo (8)	Wachovia Center 20,438	50–12
63	March 12	Seattle	111–82	Allen , Garnett (18)	Allen (7)	Pierce (11)	TD Banknorth Garden 18,624	51–12
64	March 14	Utah	92–110	Garnett (15)	Perkins (7)	Garnett (6)	TD Banknorth Garden 18,624	51–13
65	March 15	@ Milwaukee	99–77	Garnett (19)	Brown (9)	Cassell (5)	Bradley Center 17,626	52–13
66	March 17	@ San Antonio	93–91	Pierce (22)	Garnett , Pierce (8)	Pierce (5)	AT&T Center 18,797	53–13
67	March 18	@ Houston	94–74	Garnett (22)	Garnett (11)	Pierce (5)	Toyota Center 18,525	54–13
68	March 20	@ Dallas	94–90	Pierce (22)	Garnett , Pierce (13)	Cassell (6)	American Airlines Center 20,582	55–13
69	March 22	@ New Orleans	106–113	Pierce (28)	Garnett (12)	Rondo (7)	New Orleans Arena 18,280	55–14
70	March 24	Philadelphia	90–95	Garnett (18)	Powe (7)	Rondo (7)	TD Banknorth Garden 18,624	55–15
71	March 26	Phoenix	117–97	Garnett (30)	Perkins (10)	Allen (8)	TD Banknorth Garden 18,624	56–15
72	March 28	New Orleans	112–92	Pierce (27)	Garnett (13)	Pierce (9)	TD Banknorth Garden 18,624	57–15
