Train No.	Train Name	Origin	Destination	Frequency
12067/68	Guwahati Jorhat Town Jan Shatabdi Express	Guwahati	Jorhat	Except Sunday
12345/46	Saraighat Express	Howrah Junction	Guwahati	Daily
12235/36	Dibrugarh Rajdhani Express	Dibrugarh	New Delhi	Weekly
12423/24	Dibrugarh Rajdhani Express	Dibrugarh Town	New Delhi	Daily
12435/36	Dibrugarh Rajdhani Express	Dibrugarh Town	New Delhi	Bi weekly
12501/02	Poorvottar Sampark Kranti Express	Guwahati	New Delhi	Tri weekly
12505/06	North East Express	Guwahati	Anand Vihar Terminal	Daily
12507/08	Guwahati Trivandrum Express	Guwahati	Trivandrum	Weekly
12509/10	Guwahati Bangalore Express	Guwahati	Bangalore	Tri weekly
12513/14	Guwahati Secunderabad Express	Secunderabad Junction	Guwahati	Weekly
12515/16	Trivandrum Express	Trivandrum Central	Guwahati	Weekly
12517/18	Kolkata – Guwahati Garib Rath Express	Kolkata	Guwahati	Bi weekly
12525/26	Dihing Express	Kolkata	Dibrugarh	Weekly
14055/56	Brahmaputra Mail	Dibrugarh	Delhi Junction	Daily
15603/04	Kamakhya Ledo Inter City Express	Kamakhya	Ledo	Daily
15605/06	Kamakhya Mariani Inter City Express	Kamakhya	Mariani	Daily
15609/10	Avadh Assam Express	Guwahati	Lalgarh	Daily
15629/30	Chennai Egmore Express	Chennai	Guwahati	Weekly
15631/32	Barmer - Guwahati Express	Barmer	Guwahati	Bi weekly
15635/36	Dwarka Express	Okha	Guwahati	Weekly
15639/40	Puri - Guwahati Express	Puri	Guwahati	Weekly
15645/46	Mumbai LTT - Guwahati Express	Mumbai LTT	Guwahati	Bi weekly
15647/48	Mumbai LTT- Guwahati Express	Mumbai	Guwahati	Weekly
15651/52	Lohit Express	Guwahati	Jammu Tawi	Weekly
15653/54	Amarnath Express	Guwahati	Jammu Tawi	Weekly
15657/58	Kanchanjunga Express	Sealdah	Guwahati	Daily
15665/66	BG Express	Kamakhya	Dimapur	Daily
15901/02	Yeshvantpur Dibrugarh Express	Yeshvantpur	Dibrugarh	Weekly
15903/04	Dibrugarh Chandigarh Express	Dibrugarh	Chandigarh	Weekly
15905/06	Dibrugarh Kanyakumari Vivek Express	Dibrugarh	Kanyakumari	Weekly
15929/30	Chennai Egmore Dibrugarh Express	Chennai Egmore	Dibrugarh	Weekly
15933/34	Dibrugarh Amritsar Express	Dibrugarh	Amritsar	Weekly
15941/42	Jhajha Dibrugarh Express	Jhajha	Dibrugarh	Weekly
15959/60	Kamrup Express	Howrah	Dibrugarh	Daily
25610	Jivachh Link Express	Darbhanga	Guwahati	Daily
