Round	Pick	Player	Position	School
1	3	Bruce Pickens	Defensive Back	Nebraska
1	13	Mike Pritchard	Wide Receiver	Colorado
2	33	Brett Favre	Quarterback	Southern Mississippi
4	87	Moe Gardner	Defensive Tackle	Illinois
5	114	James Goode	Linebacker	Oklahoma
6	145	Erric Pegram	Running Back	North Texas
7	172	Brian K. Mitchell	Defensive Back	BYU
7	186	Mark Tucker	Guard	USC
8	199	Randy Austin	Tight End	UCLA
9	226	Ernie Logan	Nose tackle	East Carolina
10	256	Walter Sutton	Wide Receiver	Southwest Minnesota
11	258	Pete Lucas	Tackle	Wisconsin–Stevens Point
11	283	Joe Sims	Tackle	Nebraska
12	310	Bob Christian	Running Back	Northwestern
