2013/14	2012/13	2011/12	2010/11	Institute	Region
1	1	3	5	Massachusetts Institute of Technology	United States
2	3	2	2	Harvard University	United States
3	2	1	1	University of Cambridge	United Kingdom
4	4	7	4	University College London	United Kingdom
5	6	6	7	Imperial College London	United Kingdom
6	5	5	6	University of Oxford	United Kingdom
7	15	11	13	Stanford University	United States
8	7	4	3	Yale University	United States
9	8	8	8	University of Chicago	United States
10	10	12	9	California Institute of Technology	United States
10	9	13	10	Princeton University	United States
13	12	9	12	University of Pennsylvania	United States
14	11	10	11	Columbia University	United States
15	14	15	16	Cornell University	United States
16	16	16	17	Johns Hopkins University	United States
17	21	20	22	University of Edinburgh	United Kingdom
17	19	23	29	University of Toronto	Canada
19	26	27	21	King's College London	United Kingdom
21	18	17	19	McGill University	Canada
22	17	14	15	University of Michigan	United States
23	20	19	14	Duke University	United States
24	25	28	31	National University of Singapore	Singapore
25	22	21	28	University of California, Berkeley	United States
26	23	22	23	The University of Hong Kong	Hong Kong
27	24	26	20	Australian National University	Australia
28	34	33	33	Ecole Normale Supérieure	France
29	27	24	26	Northwestern University	United States
30	28	30	27	University of Bristol	United Kingdom
31	36	31	38	The University of Melbourne	Australia
32	30	25	24	The University of Tokyo	Japan
33	32	29	30	The University of Manchester	United Kingdom
34	33	40	40	The Hong Kong University of Science and Technology	Hong Kong
35	35	32	25	Kyoto University	Japan
35	37	42	50	Seoul National University	South Korea
37	38	41	48	University of Wisconsin-Madison	United States
38	39	38	37	The University of Sydney	Australia
39	40	37	42	The Chinese University of Hong Kong	Hong Kong
40	31	34	35	University of California, Los Angeles	United States
41	41	36	36	Ecole Polytechnique	France
41	47	58	74	Nanyang Technological University	Singapore
43	46	48	43	The University of Queensland	Australia
44	43	44	41	New York University	United States
45	51	52	45	University of Copenhagen	Denmark
46	44	46	47	Peking University	China
47	42	39	39	Brown University	United States
48	48	47	54	Tsinghua University	China
49	45	51	44	University of British Columbia	Canada
