Round	Player	Position	Nationality	College/Junior/Club Team
1	Saku Koivu	Center	Finland	TPS (Finland)
2	Rory Fitzpatrick	Defence	United States	Sudbury Wolves (OHL)
3	Sebastien Bordeleau	Center	Canada	Hull Olympiques (QMJHL)
4	Adam Wiesel	Defence	United States	Springfield Olympics (NEJHL)
4	Jean-François Houle	Left Wing	Canada	Northwood Prep. (N.Y)
5	Jeff Lank	Defense	Canada	Prince Albert Raiders (WHL)
5	Dion Darling	Defence	Canada	Spokane Chiefs (WHL)
6	Darcy Tucker	Right Wing	Canada	Kamloops Blazers (WHL)
7	David Ruhly	Left Wing	United States	Culver Military Academy (Ind)
8	Alan Letang	Defenceman	Canada	Newmarket Royals (OHL)
9	Alexandre Duchesne	Left Wing	Canada	Drummondville Voltigeurs (QMJHL)
10	Brian Larochelle	Goalie	United States	Phillips Exeter Academy (N.H)
11	Russell Guzior	Center	United States	Culver Military Academy (Ind)
