Date	Visitor	Score	Home	Decision	Attendance	Record
October 4	Chicago	0 – 1	Minnesota	Backstrom	18,568	1–0–0
October 6	Columbus	2 – 3	Minnesota	Backstrom	18,568	2–0–0
October 10	Edmonton	0 – 2	Minnesota	Backstrom	18,568	3–0–0
October 13	Minnesota	3 – 2	Phoenix	Backstrom	12,088	4–0–0
October 14	Minnesota	2 – 0	Anaheim	Harding	17,174	5–0–0
October 16	Minnesota	3 – 4	Los Angeles	Backstrom	14,239	5–0–1
October 20	Minnesota	3 – 1	St. Louis	Harding	19,150	6–0–1
October 21	Colorado	2 – 3	Minnesota	Backstrom	18,568	7–0–1
October 24	Minnesota	3 – 5	Calgary	Backstrom	19,289	7–1–1
October 25	Minnesota	4 – 5	Edmonton	Harding	16,839	7–1–2
October 28	Minnesota	1 – 3	Colorado	Harding	17,041	7–2–2
October 30	Pittsburgh	4 – 2	Minnesota	Harding	18,568	7–3–2
