Res.	Record	Opponent	Method	Event	Round	Location
Loss	10-5 (1)	Lance Palmer	Decision (split)	RFA 4: Griffin vs. Escudero	3	Las Vegas, Nevada , United States
Loss	10-4 (1)	Pablo Garza	KO (flying knee)	The Ultimate Fighter 12 Finale	1	Las Vegas, Nevada , United States
Win	10-3 (1)	Bryan Caraway	Decision (split)	WEC 50	3	Las Vegas, Nevada , United States
Win	9-3 (1)	Courtney Buck	Submission (rear naked choke)	WEC 47	1	Columbus, Ohio , United States
NC	8-3 (1)	Cole Province	No Contest	WEC 42	3	Las Vegas, Nevada , United States
Loss	8-3	Wagnney Fabiano	Decision (unanimous)	WEC 40	3	Chicago, Illinois , United States
Win	8-2	Thomas Denny	Submission (armbar)	GFC - Evolution	1	Columbus, Ohio , United States
Win	7-2	Masakazu Imanari	Decision (majority)	DEEP - 25 Impact	3	Tokyo , Japan
Loss	6-2	Marcos Galvão	Decision	Jungle Fight 6	3	Manaus , Brazil
Win	6-1	Mike French	Submission (armbar)	GFC - Team Gracie vs Team Hammer House	2	Columbus, Ohio , United States
Win	5-1	Miljan Djurasinovic	Submission (rear naked choke)	Jungle Fight 5	1	Manaus , Brazil
Win	4-1	Jean Robert Monier	Submission (rear naked choke)	Jungle Fight 4	3	Manaus , Brazil
Win	3-1	Fabio Mello	Decision (unanimous)	Jungle Fight 3	3	Manaus , Brazil
Win	2-1	Andre Rodrigues	TKO	Papucaia Fight 1	N/A	Papucaia , Brazil
Loss	1-1	Yoshiro Maeda	Decision (unanimous)	Pancrase - Brave 7	3	Osaka , Japan
Win	1-0	Rani Yahya	Decision	Jungle Fight 2	3	Manaus , Brazil
