NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )	Apparent magnitude
2516	Open cluster	Carina	07h58m	°45′	3.8
2535	Spiral galaxy	Cancer	08h11m13.6s	°12′24″	13.0
2536	Spiral galaxy	Cancer	08h11m16.1s	°10′45″	14.5
2537	Irregular galaxy	Lynx	08h13m14.6s	°59′30″	11.7
2541	Spiral galaxy	Lynx	08h14m40.4s	°03′42″	13.0
2546	Open cluster	Puppis	08h12m	°37′	6.5
2547	Open cluster	Vela	08h10m25.7s	°10′03″	4.8
2548	Open cluster	Hydra	08h14m	°45′	6.1
2549	Lenticular galaxy	Lynx	08h18m58.4s	°48′10″	12.1
2550	Spiral galaxy	Camelopardalis	08h24m33.9s	°00′43″	13.1
2551	Spiral galaxy	Camelopardalis	08h24m50.5s	°24′44″	12.7
2552	Irregular galaxy	Lynx	08h19m19.6s	°00′28″	13.5
