Representative	Title	Presentation of Credentials	Termination of Mission	Appointed by
John Appleton	Chargé d'Affaires	January 3, 1849	May 4, 1849	James K. Polk
Alexander Keith McClung	Chargé d'Affaires	July 3, 1850	June 30, 1851	Zachary Taylor
Horace H. Miller	Chargé d'Affaires	December 18, 1852	January 18, 1854	Millard Fillmore
John W. Dana	Chargé d'Affaires	February 23, 1854	September 24, 1854	Franklin Pierce
John W. Dana	Minister Resident	September 24, 1854	March 10, 1859	Franklin Pierce
John Cotton Smith	Minister Resident	March 10, 1859	May 1, 1861	James Buchanan
David K. Cartter	Minister Resident	July 28, 1861	March 10, 1862	Abraham Lincoln
Allen A. Hall	Minister Resident	September 4, 1863	May 18, 1867	Abraham Lincoln
John W. Caldwell	Minister Resident	November 2, 1868	July 25, 1869	Andrew Johnson
Leopold Markbreit	Minister Resident	July 25, 1869	February 12, 1873	Ulysses S. Grant
John T. Croxton	Minister Resident	April 9, 1873	April 16, 1874	Ulysses S. Grant
Robert M. Reynolds	Minister Resident	January 30, 1875	October 11, 1876	Ulysses S. Grant
S. Newton Pettis	Minister Resident/ Consul General	June 2, 1879	October 30, 1879	Rutherford B. Hayes
Charles Adams	Minister Resident/Consul General	July 8, 1880	August 29, 1882	Rutherford B. Hayes
George Maney	Minister Resident/Consul General	November 4, 1882	June 1, 1883	Chester A. Arthur
Richard Gibbs	Minister Resident/Consul General	October 16, 1883	September 11, 1885	Chester A. Arthur
William A. Seay	Minister Resident/Consul General	September 19, 1885	April 12, 1887	Grover Cleveland
S. S. Carlisle	Minister Resident/Consul General	January 17, 1888	December 16, 1889	Grover Cleveland
Thomas H. Anderson	Minister Resident/Consul General	December 16, 1889	October 4, 1890	Benjamin Harrison
Thomas H. Anderson	Envoy Extraordinary and Minister Plenipotentiary	October 4, 1890	November 22, 1892	Benjamin Harrison
Frederic J. Grant	Envoy Extraordinary and Minister Plenipotentiary	April 12, 1893	October 24, 1893	Grover Cleveland
Thomas Moonlight	Envoy Extraordinary and Minister Plenipotentiary	April 14, 1894	January 8, 1898	Grover Cleveland
George H. Bridgman	Envoy Extraordinary and Minister Plenipotentiary	July 4, 1898	January 13, 1902	William McKinley
William B. Sorsby	Envoy Extraordinary and Minister Plenipotentiary	October 4, 1902	March 16, 1908	Theodore Roosevelt
James F. Stutesman	Envoy Extraordinary and Minister Plenipotentiary	September 8, 1908	April 15, 1910	William Howard Taft
Horace G. Knowles	Envoy Extraordinary and Minister Plenipotentiary	December 28, 1910	August 23, 1913	William Howard Taft
John D. O'Rear	Envoy Extraordinary and Minister Plenipotentiary	August 31, 1913	July 14, 1918	Woodrow Wilson
S. Abbot Maginnis	Envoy Extraordinary and Minister Plenipotentiary	January 14, 1920	December 5, 1921	Woodrow Wilson
