No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
122	1	"Dangerous Son"	Sam Hill	Marc Dube & Krystal Houghton	September24,2007	15.08
123	2	"Cyber-lebrity"	Matt Earl Beesley	Corey Evett & Matt Partney	October1,2007	14.72
124	3	"Inside Out"	Gina Lamar	Sunil Nayar & John Haynes	October8,2007	14.45
125	4	"Bang, Bang, Your Debt"	Karen Gaviola	Brian Davidson & Barry O'Brien	October15,2007	15.59
126	5	"Deep Freeze"	Sam Hill	Elizabeth Devine	October22,2007	15.66
127	6	"Sunblock"	Christine Moore	Corey Miller	October29,2007	14.85
128	7	"Chain Reaction"	Scott Lautanen	Brian Davidson, Matt Partney & Corey Evett	November5,2007	14.07
129	8	"Permanent Vacation"	Eagle Egilsson	Barry O'Brien & Krystal Houghton	November12,2007	15.46
130	9	"Stand Your Ground"	Joe Chappelle	Marc Dube & John Haynes	November19,2007	15.83
131	10	"CSI: My Nanny"	Jonathan Glassner	Corey Miller & Krystal Houghton	November26,2007	15.58
132	11	"Guerillas in the Mist"	Carey Meyer	Barry O'Brien & Brian Davidson	December10,2007	14.11
133	12	"Miami Confidential"	Sam Hill	Marc Dube	December17,2007	14.01
134	13	"Raising Caine"	Gina Lamar	Sunil Nayar	January14,2008	14.80
135	14	"You May Now Kill the Bride"	Eagle Egilsson	Barry O'Brien	March24,2008	16.06
136	15	"Ambush" (Part 1)	Sam Hill	Corey Evett & Matt Partney	March31,2008	15.65
137	16	"All In" (Part 2)	Joe Chappelle	Krystal Houghton	April1,2008	14.23
138	17	"To Kill a Predator"	Matt Earl Beesley	Brian Davidson	April21,2008	14.38
139	18	"Tunnel Vision"	Karen Gaviola	Tamara Jaron	April28,2008	13.88
140	19	"Rock and a Hard Place"	Gina Lamar	Marc Dube	May5,2008	14.11
141	20	"Down to the Wire"	Eagle Egilsson	Sunil Nayar	May12,2008	13.92
