Year (Ceremony)	Original title	Film title used in nomination	Director	Result
1978 (50th)	El Pez que Fuma	El Pez que Fuma	Román Chalbaud	Not Nominated
1984 (57th)	La Casa de Agua	The House of Water	Jacobo Penzo	Not Nominated
1985 (58th)	Oriana	Oriana	Fina Torres	Not Nominated
1991 (64th)	Jericó	Jericho	Luis Alberto Lamata	Not Nominated
1994 (67th)	Golpes a mi Puerta	Knocks at My Door	Alejandro Saderman	Not Nominated
1995 (68th)	Sicario	Sicario	José Ramón Novoa	Not Nominated
1997 (70th)	Una vida y dos Mandados	One Life and Two Trails	Alberto Aruelo	Not Nominated
1998 (71st)	Rizo	Loop	Julio Sosa	Not Nominated
1999 (72nd)	Huelepega: Ley de la Calle	Huelepega	Elia Schneider	Not Nominated
2000 (73rd)	Oro Diablo	Oro Diablo	José Ramón Novoa	Not Nominated
2001 (74th)	Una casa con vista al mar	A House with a View of the Sea	Alberto Aruelo	Not Nominated
2002 (75th)	La pluma del arcángel	The Archangel's Feather	Luis Manzo	Not Nominated
2003 (76th)	Sangrador	Sangrador	Leonardo Henriquez	Not Nominated
2004 (77th)	Punto y Raya	Punto y Raya	Elia Schneider	Not Nominated
2005 (78th)	1888: El Extraordinario Viaje de Santa Isabel	1888: The Extraordinary Voyage of the Santa Isabel	Alfredo Anzola	Disqualified
2006 (79th)	Maroa: Una Niña de la Calle	Maroa	Solveig Hoogesteijn	Not Nominated
2007 (80th)	Postales de Leningrado	Postcards from Leningrad	Mariana Rondon	Not Nominated
2008 (81st)	El tinte de la fama	The Color of Fame	Alberto Bellame	Not Nominated
2009 (82nd)	Libertador Morales, El Justiciero	Libertador Morales, El Justiciero	Efterpi Charalambidis	Not Nominated
2010 (83rd)	Hermano	Hermano	Marcel Rasquin	Not Nominated
2011 (84th)	The Rumble of the Stones	El rumor de las piedras	Alejandro Bellame	Not Nominated
2012 (85th)	Rock, Paper, Scissors	Piedra, papel o tijera	Hernán Jabes	Not Nominated
2013 (86th)	Breach in the Silence	Brecha en el silencio	Luis Rodríguez , Andrés Rodríguez	TBD
