Driver	Constructor	Laps	Time/Retired	Grid
John Surtees	Honda	68	1:43:45.0	9
Jack Brabham	Brabham - Repco	68	+ 0.2	2
Jim Clark	Lotus - Ford	68	+ 23.1	1
Jochen Rindt	Cooper - Maserati	68	+ 56.6	11
Mike Spence	BRM	67	+ 1 Lap	12
Jacky Ickx	Cooper - Maserati	66	+ 2 Laps	15
Chris Amon	Ferrari	64	+ 4 Laps	4
Graham Hill	Lotus - Ford	58	Engine	8
Jo Siffert	Cooper - Maserati	50	Accident	13
Giancarlo Baghetti	Lotus - Ford	50	Engine	17
Bruce McLaren	McLaren - BRM	46	Engine	3
Jo Bonnier	Cooper - Maserati	46	Overheating	14
Jackie Stewart	BRM	45	Engine	7
Denny Hulme	Brabham - Repco	30	Overheating	6
Guy Ligier	Brabham - Repco	26	Engine	18
Chris Irwin	BRM	16	Injection	16
Ludovico Scarfiotti	Eagle - Weslake	5	Engine	10
Dan Gurney	Eagle - Weslake	4	Engine	5
