Season	MLS Cup Winner	MLS Cup Runner-Up	MLS Supporters Shield Winner	MLS Supporters Shield Runner-Up
1996	D.C. United	Los Angeles Galaxy	Tampa Bay Mutiny	Los Angeles Galaxy
1997	D.C. United	Colorado Rapids	D.C. United	Kansas City Wizards
1998	Chicago Fire	D.C. United	Los Angeles Galaxy	D.C. United
1999	D.C. United	Los Angeles Galaxy	D.C. United	Los Angeles Galaxy
2000	Kansas City Wizards	Chicago Fire	Kansas City Wizards	Chicago Fire
2001	San Jose Earthquakes	Los Angeles Galaxy	Miami Fusion	Chicago Fire
2002	Los Angeles Galaxy	New England Revolution	Los Angeles Galaxy	San Jose Earthquakes
2003	San Jose Earthquakes	Chicago Fire	Chicago Fire	San Jose Earthquakes
2004	D.C. United	Kansas City Wizards	Columbus Crew	Kansas City Wizards
2005	Los Angeles Galaxy	New England Revolution	San Jose Earthquakes	New England Revolution
2006	Houston Dynamo	New England Revolution	D.C. United	FC Dallas
2007	Houston Dynamo	New England Revolution	D.C. United	Chivas USA
2008	Columbus Crew	New York Red Bulls	Columbus Crew	Houston Dynamo
2009	Real Salt Lake	Los Angeles Galaxy	Columbus Crew	Los Angeles Galaxy
2010	Colorado Rapids	FC Dallas	Los Angeles Galaxy	Real Salt Lake
2011	Los Angeles Galaxy	Houston Dynamo	Los Angeles Galaxy	Seattle Sounders FC
2012	Los Angeles Galaxy	Houston Dynamo	San Jose Earthquakes	Sporting Kansas City
