Outcome	Date	Tournament	Surface	Partner	Opponent in the final	Score in the final
Winner	1992	Munich , Germany	Clay	Menno Oosting	Carl Limberger Tomáš Anzari	3–6, 7–5, 6–3
Runner-up	1992	French Open , Paris	Clay	Andrei Olhovskiy	Jakob Hlasek Marc Rosset	6–7, 7–6, 5–7
Runner-up	1992	Moscow , Russia	Carpet	Andrei Olhovskiy	Marius Barnard John-Laffnie de Jager	4–6, 6–3, 6–7
Runner-up	1993	Rotterdam , Netherlands	Carpet	Andrei Olhovskiy	Henrik Holm Anders Järryd	4–6, 6–7
Winner	1993	Copenhagen , Denmark	Carpet	Andrei Olhovskiy	Martin Damm Daniel Vacek	6–3, 3–6, 6–3
Winner	1993	Estoril , Portugal	Clay	Andrei Olhovskiy	Menno Oosting Udo Riglewski	6–3, 7–5
Runner-up	1993	Rosmalen , Netherlands	Grass	Andrei Olhovskiy	Patrick McEnroe Jonathan Stark	6–7, 6–1, 4–6
Runner-up	1993	Bordeaux , France	Hard	Andrei Olhovskiy	Pablo Albano Javier Frana	6–7, 6–4, 3–6
Runner-up	1993	Bolzano , Italy	Carpet	Andrei Olhovskiy	Hendrik Jan Davids Piet Norval	3–6, 2–6
Runner-up	1994	Adelaide , Australia	Hard	Byron Black	Andrew Kratzmann Mark Kratzmann	4–6, 3–6
Winner	1994	Stuttgart Indoor , Germany	Carpet	Andrei Olhovskiy	Grant Connell Patrick Galbraith	6–7, 6–4, 7–6
Winner	1994	Casablanca , Morocco	Clay	Menno Oosting	Cristian Brandi Federico Mordegan	6–3, 6–4
Runner-up	1994	Osaka , Japan	Hard	Andrei Olhovskiy	Martin Damm Sandon Stolle	4–6, 4–6
Runner-up	1994	Hilversum , Netherlands	Clay	Andrei Olhovskiy	Daniel Orsanic Jan Siemerink	4–6, 2–6
Winner	1994	Kitzbühel , Austria	Clay	Andrei Olhovskiy	Sergio Casal Emilio Sánchez	6–7, 6–3, 7–5
Runner-up	1994	Beijing , China	Carpet	Andrei Olhovskiy	Tommy Ho Kent Kinnear	6–7, 3–6
