Order	Name	Seasons	Games	Goals
1	Peter Burns Category:Articles with hCards	1897 – 1902	89	7
2	Jack Conway Category:Articles with hCards	1897 – 1899	51	0
3	Teddy Holligan Category:Articles with hCards	1897 – 1901 , 1903	84	29
4	Eddy James Category:Articles with hCards	1897 – 1900	46	85
5	Paddy Leahy Category:Articles with hCards	1897 – 1900	17	0
6	John Lucas Category:Articles with hCards	1897	1	0
7	Tom Maguire Category:Articles with hCards	1897 – 1898	13	0
8	Firth McCallum Category:Articles with hCards	1897 – 1903 , 1905	74	25
9	Bill McKay Category:Articles with hCards	1897	2	0
10	Henry McShane Category:Articles with hCards	1897 – 1898	31	1
11	Jim McShane Category:Articles with hCards	1897 – 1901	82	53
12	Joe McShane Category:Articles with hCards	1897 – 1901	75	30
13	Tom Mullins Category:Articles with hCards	1897	1	0
14	Jack Parkin Category:Articles with hCards	1897 – 1899	50	11
15	Bob Paterson Category:Articles with hCards	1897	2	0
16	Billy Pincott Category:Articles with hCards	1897 , 1899	17	0
17	Alf Pontin Category:Articles with hCards	1897	13	1
18	Jack Quinn Category:Articles with hCards	1897 – 1898	21	16
19	Teddy Rankin Category:Articles with hCards	1897 , 1899 – 1910	180	35
20	Archie Thompson Category:Articles with hCards	1897 – 1901	61	14
21	Stan Enfield Category:Articles with hCards	1897	3	3
22	Jack Sharkey Category:Articles with hCards	1897	1	0
23	Sam Brockwell Category:Articles with hCards	1897 – 1898	29	0
24	Charlie Coles Category:Articles with hCards	1897 – 1898 , 1900 – 1904	72	81
25	Jim Flynn Category:Articles with hCards	1897 – 1902	72	22
26	Henry Young Category:Articles with hCards	1897 – 1910	167	76
27	Bert Barling Category:Articles with hCards	1897 – 1898	16	4
28	Mac Armstrong Category:Articles with hCards	1897	4	0
29	Arthur Pincott Category:Articles with hCards	1897 – 1900 , 1902 – 1903	72	0
30	Fred White Category:Articles with hCards	1897 – 1899	28	28
31	Cecil Sandford Category:Articles with hCards	1897 – 1898	8	1
32	Jimmy Palmer Category:Articles with hCards	1897 , 1899 – 1902	53	8
33	Ned Moran Category:Articles with hCards	1897	2	0
34	Ted Greeves Category:Articles with hCards	1897 – 1899	20	2
35	Jack O'Loughlin Category:Articles with hCards	1898 , 1901	22	1
36	Walter Cooke Category:Articles with hCards	1898	9	1
37	Alf Dear Category:Articles with hCards	1898 – 1899	22	3
38	Bill Robertson Category:Articles with hCards	1898	1	0
39	Dick Walker Category:Articles with hCards	1898	14	10
40	Jack Dore Category:Articles with hCards	1898	5	0
41	Ernie Leighton Category:Articles with hCards	1898 – 1899	29	18
42	Les Bailiff Category:Articles with hCards	1898 , 1900 – 1903	63	0
43	Ernest Anderson Category:Articles with hCards	1898	1	0
44	Alec King Category:Articles with hCards	1898	6	3
45	Ossie Calvert Category:Articles with hCards	1898	2	0
46	Arthur McKenzie Category:Articles with hCards	1898	4	0
47	Tommy Buchan Category:Articles with hCards	1899 – 1902	41	20
48	George Lockwood Category:Articles with hCards	1899 – 1901	40	7
49	Teddy Lockwood Category:Articles with hCards	1899 – 1901	45	61
50	Pat O'Donnell Category:Articles with hCards	1899	1	0
51	Norman Belcher Category:Articles with hCards	1899 , 1902 , 1906	8	3
52	Harry Parkin Category:Articles with hCards	1899	2	0
