Name	Innings	Runs Scored	Balls Faced	Average	S.R.
Virender Sehwag	5	82	113	16.40	72.57
Sachin Tendulkar	8	191	227	18.29	73.99
Gautam Gambhir	8	421	512	59.67	84.63
Yuvraj Singh	8	190	215	19.67	81.38
Rohit Sharma	7	164	212	32.80	77.36
Mahendra Singh Dhoni (c) (wk)	7	306	419	76.50	73.03
Robin Uthappa	5	84	123	21.00	68.29
Irfan Pathan	6	106	162	21.20	65.43
Harbhajan Singh	4	54	42	13.50	128.50
S Sreesanth	3	8	11	4.00	72.73
Ishant Sharma	4	5	17	5.00	29.41
Manoj Tiwari	1	2	16	2.00	12.50
Munaf Patel	1	0	9	0.00	0.00
Praveen Kumar	1	5	8	5.00	62.50
