Rank	Name	Circulation per issue	Number of languages	Frequency	Publisher
1	The Watchtower	45,944,000	212	Monthly	Watchtower Bible and Tract Society
2	Awake!	44,748,000	99	Monthly	Watchtower Bible and Tract Society
3	AARP The Magazine	23,721,626	1	Semi-monthly	AARP
4	AARP Bulletin	23,574,328	1	Semi-monthly	AARP
5	ADAC Motorwelt	13,643,161	1	Monthly	ADAC
6	Game Informer	8,100,000	1	Monthly	Gamestop Corp.
7	Better Homes and Gardens	7,600,000	1	Monthly	Meredith Corporation
8	AutoPrimeurs	6,010,904	1	Monthly	Topline Publishing
9	TV Magazine	5,854,629	1	Monthly	Groupe Le Figaro
10	Reader's Digest	5,500,000	21	Monthly	The Reader's Digest Association
11	National Geographic	5,000,000	36	Monthly	National Geographic Society
12	Good Housekeeping	4,300,000	1	Monthly	Hearst Corporation
13	Family Circle	3,800,000	1	Monthly	Meredith Corporation
14	People	3,500,000	1	Weekly	Time Inc.
15	Version Fémina	3,392,403	1	Weekly	Hachette Filipacchi Médias
