Rank	Nation	Gold	Silver	Bronze	Total
1	Australia	39	39	29	107
2	England	38	38	32	108
3	Canada	26	23	33	82
4	Scotland	8	6	12	26
5	New Zealand	5	8	13	26
6	India	5	8	3	16
7	Nigeria	5	0	8	13
8	Wales	4	4	1	9
9	Kenya	4	2	4	10
10	Bahamas	2	2	2	6
11	Jamaica	2	1	1	4
12	Tanzania	1	2	2	5
13	Malaysia	1	0	1	2
14	Fiji	1	0	0	1
14	Hong Kong	1	0	1	2
14	Zimbabwe	1	0	0	1
17	Northern Ireland	0	3	3	6
18	Uganda	0	3	0	3
19	Zambia	0	1	5	6
20	Guernsey	0	1	1	2
21	Bermuda	0	0	1	1
21	Singapore	0	0	1	1
21	Swaziland	0	0	1	1
Total	Total	143	141	153	437
