Maker	Model	Intro year	Screen size (inch)	Screen type	Weight	Screen pixels	Hours reading	Touch screen	Wireless network	Internal storage	Card reader slot
Aluratek	Libre Touch eBook Reader	2011	7	LCD	g (oz)	480 × 800	8	Yes	Yes, Wi-Fi	4 GB	microSD
Aluratek	Libre Air eBook Reader	2011	5	LCD	g (oz)	480 × 640	20	No	Yes, Wi-Fi	512 MB	microSD
Aluratek	Libre Color eBook Reader	2010	7	LCD	g (oz)	480 × 800	24	No	No	2 GB	SD
Aluratek	Libre Pro eBook Reader	2009	5	LCD	g (oz)	480 × 640	24	No	No	256 MB	SD
Amazon.com	Kindle Fire	2011	7	LCD(IPS)	g (oz)	600 × 1024	8	Yes	Wi-Fi	8 GB (6 GB)	No
Apple Inc.	iPad (3rd generation)	2012	9.7	LCD(IPS)	g (oz), g (oz)	2048 × 1536	10	Yes	Wi-Fi, 3G	16-64 GB	SD via camera connection kit
Apple Inc.	iPad 2	2011	9.7	LCD(IPS)	g (oz)	768 × 1024	10	Yes	Wi-Fi, 3G	16-64 GB	SD via camera connection kit
Apple Inc.	iPad	2010	9.7	LCD	g (oz)	768 × 1024	9	Yes	Wi-Fi	16-64 GB	SD via Camera Connection Kit
Barnes & Noble	Nook Color	2010	7	LCD	g (oz)	600 × 1024	8	Yes	Wi-Fi 802.11b/g/n	2 GB, 1 GB available	microSDHC
Ectaco	jetBook	2008	5	LCD	g (oz)	480 × 640	20	No	No	112 MB	SDHC
Elonex	705EB	2010	7	LED	g (oz)	480 × 800	8	No	No	4 GB	microSDHC
Notion Ink	Adam	2011	10.1	Pixel Qi	g (oz)	600 × 1024	15	Yes	Wi-Fi, 3G	1GB DDR2 RAM 1GB SLC	microSD
PocketBook	PocketBook IQ 701	2010	7	LCD	g (oz)	600 × 800	8	Yes	Wi-Fi	2 GB	SDHC
TrekStor	eBook Reader 3.0	2011	7	LCD	g (oz)	800 × 480	8	No	No	2 GB	microSDHC
Zzbook	eReader HD	2010	7	TFT-LCD	g (oz)	800 × 480	8	No	No	2 GB	microSD
Maker	Model	Intro year	Screen size (inch)	Screen type	Weight	Screen pixels	Hours reading	Touch screen	Wireless network	Internal storage	Card reader slot
