Date	Competition	Venue	Result	Score	Goals
4/3/01	Super League VI	Valley Parade	W	31-24	H.Paul 5/5, H.Paul 1 DG
16/3/01	Super League VI	The Willows	W	40-6	H.Paul 6/7
25/3/01	Super League VI	McAlpine Stadium	W	30-14	Deacon 4/4, H.Paul 1/1
8/4/01	Super League VI	Valley Parade	W	24-6	H.Paul 4/4
12/4/01	Super League VI	Belle Vue	L	12-16	Deacon 2/2
16/4/01	Super League VI	Valley Parade	W	35-24	H.Paul 7/7, H.Paul 1 DG
21/4/01	Super League VI	The Boulevard	D	24-24	H.Paul 6/6
2/5/01	Super League VI	Valley Parade	W	56-24	H.Paul 8/8, Deacon 2/2
5/5/01	Super League VI	The Jungle	W	24-22	H.Paul 6/6
11/5/01	Super League VI	Headingley Stadium	W	33-14	H.Paul 6/6, H.Paul 1 DG
18/5/01	Super League VI	Valley Parade	W	64-12	H.Paul 10/11
27/5/01	Super League VI	Valley Parade	W	42-10	H.Paul 5/8
2/6/01	Super League VI	Knowsley Road	L	26-38	H.Paul 3/5
10/6/01	Super League VI	Valley Parade	W	78-18	H.Paul 11/14
16/6/01	Super League VI	Welford Road	W	42-0	H.Paul 5/8
24/6/01	Super League VI	Valley Parade	W	62-10	H.Paul 8/8, Deacon 3/3
29/6/01	Super League VI	JJB Stadium	L	30-44	H.Paul 5/5
6/7/01	Super League VI	Valley Parade	W	40-0	H.Paul 6/7
15/7/01	Super League VI	Valley Parade	W	44-4	Deacon 8/8
22/7/01	Super League VI	Valley Parade	W	44-22	H.Paul 7/7, Deacon 1/1
29/7/01	Super League VI	Shay Stadium	W	52-28	H.Paul 8/9
4/8/01	Super League VI	Wilderspool	L	14-18	H.Paul 3/3
11/8/01	Super League VI	Headingley Stadium	W	34-6	H.Paul 7/7
17/8/01	Super League VI	Valley Parade	W	27-14	H.Paul 8/8, Deacon 3 DG
26/8/01	Super League VI	Valley Parade	W	56-30	H.Paul 9/9, Deacon 1/1
31/8/01	Super League VI	JJB Stadium	L	10-16	H.Paul 2/2, Deacon 1 DG, Lowes 1 DG
9/9/01	Super League VI	Wilderspool	W	84-12	H.Paul 10/10, Deacon 4/4
15/9/01	Super League VI	Valley Parade	W	62-18	H.Paul 9/11
