Series Ep.	Episode	Segment A	Segment B	Segment C	Segment D
20-01	248	Native Healing Drums	s Raisin	Stereoscopic Viewers	Ribbon Microphones
20-02	249	Horse Bits	Oat Cereal	Turquoise Jewellery	Electric Scooters
20-03	250	Nail Nippers	Jade Putters	Ice Cider	Water Skis
20-04	251	es Stagecoach	Road Reflectors	Fire Baked Pottery	Custom Motorcycle Tanks
20-05	252	Replica Clay Pipes	Drinking Fountains	Orange Liqueur	Compound Bows
20-06	253	Tissues	Travel Trailers	s Slipper	Motorcycle Helmets
20-07	254	U-Locks	Tepees	s Croissant	Rolling Luggage
20-08	255	Prams	Factory-Built Homes	Wood Flutes	Bicycle Tires
20-09	256	Thinning Shears	Wagon Wheels	Toaster Pastries	Violin Bows
20-10	257	Cast Iron Tubs	Hopi Kachina Dolls	Mine Truck Engine Rebuild	Memory Cards
20-11	258	Cycling Shoes	s Yurt	Marine Plywood	Oil & Encaustic Paint
20-12	259	Paper Fans	Walnut Oil	Copper (Part 1)	Copper (Part 2)
