Rider	Manufacturer	Laps	Time/Retired	Grid
Casey Stoner	Ducati	25	43:16.907	4
Valentino Rossi	Yamaha	25	+0.069	1
Dani Pedrosa	Honda	25	+0.390	3
John Hopkins	Suzuki	25	+7.814	5
Randy de Puniet	Kawasaki	25	+17.853	2
Loris Capirossi	Ducati	25	+19.409	17
Chris Vermeulen	Suzuki	25	+19.495	11
Alex Barros	Ducati	25	+24.862	14
Marco Melandri	Honda	25	+24.963	9
Colin Edwards	Yamaha	25	+35.348	6
Nicky Hayden	Honda	25	+36.301	7
Makoto Tamada	Yamaha	25	+38.720	16
Alex Hofmann	Ducati	25	+40.934	10
Sylvain Guintoli	Yamaha	25	+44.399	13
Shinya Nakano	Honda	25	+54.103	12
Kenny Roberts, Jr.	KR212V	25	+59.655	18
Carlos Checa	Honda	25	+1:02.315	15
Kurtis Roberts	KR212V	25	+1:03.322	19
Toni Elías	Honda	14	Retirement	8
