Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
85005	V	Témiscaming	861.77	2,797	Témiscamingue	08
85010	M	Kipawa	47.20	570	Témiscamingue	08
85015	P	Saint-Édouard-de-Fabre	216.18	684	Témiscamingue	08
85020	M	Béarn	566.48	861	Témiscamingue	08
85025	V	Ville-Marie	11.94	2,719	Témiscamingue	08
85030	M	Duhamel-Ouest	127.61	890	Témiscamingue	08
85037	M	Lorrainville	85.12	1,375	Témiscamingue	08
85045	M	Saint-Bruno-de-Guigues	188.99	1,095	Témiscamingue	08
85050	M	Laverlochère	107.01	746	Témiscamingue	08
85055	M	Fugèreville	163.79	348	Témiscamingue	08
85060	CU	Latulipe-et-Gaboury	298.38	320	Témiscamingue	08
85065	V	Belleterre	606.33	359	Témiscamingue	08
85070	M	Laforce	612.65	455	Témiscamingue	08
85075	M	Moffet	431.46	207	Témiscamingue	08
85080	VL	Angliers	378.20	308	Témiscamingue	08
85085	M	Saint-Eugène-de-Guigues	113.02	452	Témiscamingue	08
85090	M	Notre-Dame-du-Nord	103.60	1,068	Témiscamingue	08
85095	CT	Guérin	203.10	299	Témiscamingue	08
85100	CT	Nédélec	369.90	410	Témiscamingue	08
85105	M	Rémigny	985.03	358	Témiscamingue	08
86042	V	Rouyn-Noranda	6,435.64	39,404	Not part of a RCM	08
87005	V	Duparquet	157.40	650	Abitibi-Ouest	08
87010	M	Rapide-Danseur	185.18	309	Abitibi-Ouest	08
87015	M	Roquemaure	121.67	436	Abitibi-Ouest	08
87020	M	Gallichan	73.32	456	Abitibi-Ouest	08
87025	M	Palmarolle	118.36	1,436	Abitibi-Ouest	08
87030	M	Sainte-Germaine-Boulé	108.46	939	Abitibi-Ouest	08
87035	M	Poularies	164.95	719	Abitibi-Ouest	08
87042	M	Taschereau	265.62	998	Abitibi-Ouest	08
87050	M	Authier	139.72	277	Abitibi-Ouest	08
87058	V	Macamic	191.95	2,848	Abitibi-Ouest	08
87070	P	Sainte-Hélène-de-Mancebourg	68.29	374	Abitibi-Ouest	08
87075	M	Clerval	101.60	345	Abitibi-Ouest	08
87080	M	La Reine	100.01	370	Abitibi-Ouest	08
87085	M	Dupuy	123.48	972	Abitibi-Ouest	08
87090	V	La Sarre	148.21	7,351	Abitibi-Ouest	08
87095	M	Chazel	134.57	311	Abitibi-Ouest	08
87100	M	Authier-Nord	289.79	318	Abitibi-Ouest	08
87105	M	Val-Saint-Gilles	110.54	159	Abitibi-Ouest	08
87110	CT	Clermont	155.89	568	Abitibi-Ouest	08
87115	M	Normétal	55.89	961	Abitibi-Ouest	08
87120	P	Saint-Lambert	101.76	228	Abitibi-Ouest	08
88005	M	Champneuf	241.38	147	Abitibi	08
88010	M	Rochebaucourt	185.00	182	Abitibi	08
88015	M	La Morandière	430.00	262	Abitibi	08
88022	M	Barraute	495.51	2,014	Abitibi	08
88030	M	La Corne	331.54	641	Abitibi	08
88035	CT	Landrienne	276.22	1,044	Abitibi	08
88040	P	Saint-Marc-de-Figuery	91.10	652	Abitibi	08
88045	M	La Motte	224.03	443	Abitibi	08
88050	M	Saint-Mathieu-d'Harricana	104.09	696	Abitibi	08
88055	V	Amos	430.84	12,685	Abitibi	08
88060	M	Saint-Félix-de-Dalquier	112.12	983	Abitibi	08
88065	M	Saint-Dominique-du-Rosaire	512.24	465	Abitibi	08
88070	M	Berry	583.36	505	Abitibi	08
88075	CT	Trécesson	198.38	1,194	Abitibi	08
88080	CT	Launay	252.44	249	Abitibi	08
88085	M	Sainte-Gertrude-Manneville	329.84	781	Abitibi	08
88090	M	Preissac	489.50	717	Abitibi	08
89008	V	Val-d'Or	3,958.13	32,089	La Vallée-de-l'Or	08
89010	M	Rivière-Héva	193.00	1,208	La Vallée-de-l'Or	08
89015	V	Malartic	159.31	3,602	La Vallée-de-l'Or	08
89040	V	Senneterre	16,524.89	3,165	La Vallée-de-l'Or	08
89045	P	Senneterre	432.98	1,146	La Vallée-de-l'Or	08
89050	M	Belcourt	411.23	261	La Vallée-de-l'Or	08
