Race Name	Circuit	Date	Winning driver	Constructor	Report
IV Gran Premio di Siracusa	Syracuse	11 April	Nino Farina	Ferrari	Report
XV Pau Grand Prix	Pau	19 April	Jean Behra	Gordini	Report
VI Lavant Cup	Goodwood	19 April	Reg Parnell	Ferrari	Report
III Grand Prix de Bordeaux	Bordeaux	9 May	José Froilán González	Ferrari	Report
IV BRDC International Trophy	Silverstone	15 May	José Froilán González	Ferrari	Report
VII Gran Premio di Bari	Bari	22 May	José Froilán González	Ferrari	Report
II Curtis Trophy	Snetterton	5 June	Roy Salvadori	Maserati	Report
XIII Gran Premio di Roma	Castelfusano	6 June	Onofre Marimón	Maserati	Report
XXIV Grand Prix des Frontières	Chimay	6 June	B Bira	Maserati	Report
I Cornwall MRC Formula 1 Race	Davidstow	7 June	John Riseley-Prichard	Connaught - Francis	Report
I BARC Formula 1 Race	Goodwood	7 June	Reg Parnell	Ferrari	Report
II Crystal Palace Trophy	Crystal Palace	19 June	Reg Parnell	Ferrari	Report
IV Grand Prix de Rouen-les-Essarts	Rouen	11 July	Maurice Trintignant	Ferrari	Report
III Grand Prix de Caen	Caen	25 July	Maurice Trintignant	Ferrari	Report
I August Cup	Crystal Palace	2 August	Reg Parnell	Ferrari	Report
II Cornwall MRC Formula 1 Race	Davidstow	2 August	John Coombs	Lotus - Connaught	Report
I International Gold Cup	Oulton Park	7 August	Stirling Moss	Maserati	Report
RedeX Trophy	Snetterton	14 August	Reg Parnell	Ferrari	Report
XXIII Circuito di Pescara	Pescara	15 August	Luigi Musso	Maserati	Report
V Sachsenring-Rennen	Sachsenring	15 August	Paul Thiel	EMW	Report
III Joe Fry Memorial Trophy	Castle Combe	28 August	Horace Gould	Cooper - Bristol	Report
V Circuit de Cadours	Cadours	12 September	Jean Behra	Gordini	Report
I Grosser Preis von Berlin	AVUS	19 September	Karl Kling	Mercedes	Report
VII Goodwood Trophy	Goodwood	25 September	Stirling Moss	Maserati	Report
I Daily Telegraph Trophy	Aintree	2 October	Stirling Moss	Maserati	Report
