Game	December	Opponent	Score	Record
25	1	@ St. Louis Blues	2 - 0	10-13-2
26	3	Montreal Canadiens	3 - 3	10-13-3
27	5	Chicago Black Hawks	3 - 3	10-13-4
28	7	@ Hartford Whalers	7 - 4	11-13-4
29	9	New York Islanders	5 - 4	12-13-4
30	11	@ Detroit Red Wings	2 - 1	13-13-4
31	12	@ Chicago Black Hawks	5 - 2	14-13-4
32	15	@ Washington Capitals	5 - 4	14-14-4
33	16	Philadelphia Flyers	1 - 1	14-14-5
34	19	Vancouver Canucks	5 - 3	15-14-5
35	22	@ Pittsburgh Penguins	4 - 3	16-14-5
36	23	Boston Bruins	4 - 3	16-15-5
37	30	Washington Capitals	5 - 2	17-15-5
