Date	Opponents	Score	Competition	Match Report
July 7, 2007	WSG Wattens	1-0	F	eintracht-archiv.de
July 10, 2007	Dinamo Bucureşti	1-3	F	eintracht-archiv.de
July 14, 2007	SV Wehen	0-2	F	eintracht-archiv.de
July 17, 2007	Germania Ober-Roden	6-0	F	eintracht-archiv.de
July 20, 2007	Wuppertaler SV Borussia	1-0	F	eintracht-archiv.de
July 25, 2007	SV Meppen	0-2	F	eintracht-archiv.de
July 28, 2007	TuS Koblenz	3-1	F	eintracht-archiv.de
August 1, 2007	Dillenburg XI	10-0	F	eintracht-archiv.de
August 5, 2007	1. FC Union Berlin	4-1	GC	eintracht-archiv.de
August 7, 2007	Viktoria 07 Kelsterbach	6-1	F	eintracht-archiv.de
August 11, 2007	Hertha BSC Berlin	1-0	BL	ESPN
August 14, 2007	FC Teutonia 07 Hausen	15-2	F	eintracht-archiv.de
August 18, 2007	Arminia Bielefeld	2-2	BL	ESPN
August 21, 2007	FVgg. Kastel 06	10-0	F	eintracht-archiv.de
August 26, 2007	FC Hansa Rostock	1-0	BL	ESPN
August 28, 2007	FC Union Niederrad 07	11-0	F	eintracht-archiv.de
September 1, 2007	SV Werder Bremen	1-2	BL	ESPN
September 11, 2007	FSV Raunheim 07	23-0	F	eintracht-archiv.de
September 15, 2007	Hamburger SV	2-1	BL	ESPN
September 21, 2007	VfL Bochum	0-0	BL	ESPN
September 26, 2007	Karlsruher SC	0-1	BL	ESPN
September 30, 2007	FC Energie Cottbus	2-2	BL	ESPN
October 7, 2007	Bayer Leverkusen	2-1	BL	ESPN
October 12, 2007	Viktoria Aschaffenburg	5-1	F	eintracht-archiv.de
October 20, 2007	1. FC Nuremberg	1-5	BL	ESPN
October 26, 2007	Hannover 96	0-0	BL	ESPN
October 31, 2007	Borussia Dortmund	1-2	GC	eintracht-archiv.de
November 3, 2007	FC Bayern Munich	0-0	BL	ESPN
November 10, 2007	Borussia Dortmund	1-1	BL	ESPN
November 15, 2007	FV Bad Vilbel	8-1	F	eintracht-archiv.de
November 24, 2007	VfB Stuttgart	1-4	BL	ESPN
December 1, 2007	VfL Wolfsburg	2-2	BL	ESPN
December 8, 2007	FC Schalke 04	2-2	BL	ESPN
December 16, 2007	MSV Duisburg	1-0	BL	ESPN
January 4, 2008	Kickers Offenbach	2-3	IT	eintracht-archiv.de
January 4, 2008	SV Wehen	4-2	IT	eintracht-archiv.de
January 4, 2008	FSV Mainz 05	2-0	IT (semi-final match)	eintracht-archiv.de
January 4, 2008	SV Wehen	3-3 (5-6 PSO )	IT (final match)	eintracht-archiv.de
January 5, 2008	TSG Hoffenheim	4-4	IT	eintracht-archiv.de
January 5, 2008	Kickers Offenbach	0-0	IT	eintracht-archiv.de
January 5, 2008	Karlsruher SC	3-4	IT (semi-final match)	eintracht-archiv.de
January 5, 2008	SV Waldhof Mannheim	4-0	IT (third place play-off)	eintracht-archiv.de
January 10, 2008	1. FC Nuremberg	1-1	F	eintracht-archiv.de
January 12, 2008	VfL Wolfsburg	1-1	F	eintracht-archiv.de
January 19, 2008	SC Paderborn 07	1-1	F	eintracht-archiv.de
January 26, 2008	SV Wehen	2-0	F	eintracht-archiv.de
February 2, 2008	Hertha BSC Berlin	3-0	BL	ESPN
February 8, 2008	Arminia Bielefeld	2-1	BL	ESPN
February 16, 2008	FC Hansa Rostock	0-1	BL	ESPN
February 23, 2008	SV Werder Bremen	1-0	BL	ESPN
March 2, 2008	Hamburger SV	1-4	BL	ESPN
March 8, 2008	VfL Bochum	1-1	BL	ESPN
March 15, 2008	Karlsruher SC	1-0	BL	ESPN
March 20, 2008	FC Energie Cottbus	2-1	BL	ESPN
March 25, 2008	KFC Uerdingen 05	2-1	F	eintracht-archiv.de
March 29, 2008	Bayer Leverkusen	2-0	BL	ESPN
April 5, 2008	1. FC Nuremberg	1-3	BL	ESPN
April 12, 2008	Hannover 96	1-2	BL	ESPN
April 16, 2008	FC Bayern Munich	1-3	BL	ESPN
April 22, 2008	SG Bad Soden / FV Neuenhain XI	21-0	F	eintracht-archiv.de
April 25, 2008	Borussia Dortmund	1-1	BL	ESPN
May 3, 2008	VfB Stuttgart	1-4	BL	ESPN
May 7, 2008	VfL Wolfsburg	2-3	BL	ESPN
May 10, 2008	FC Schalke 04	0-1	BL	ESPN
May 17, 2008	MSV Duisburg	4-2	BL	ESPN
