Wicket	Runs	Batsmen	Opponent	Venue	Season
1	210	Jamie Cox & David Boon	New South Wales	Bellerive Oval , Hobart	1998/99
2	225	Travis Birt & Michael Bevan	South Australia	Bellerive Oval , Hobart	2004/05
3	152	Gary Goodman & John Hampshire	Queensland	Gabba , Brisbane	1978/79
4	125	Travis Birt & George Bailey	Queensland	Bellerive Oval , Hobart	2006/07
5	158	Jamie Cox & Daniel Marsh	Queensland	Bellerive Oval , Hobart	2002/03
6	100	Michael Bevan & Tim Paine	Queensland	Bellerive Oval , Hobart	2005/06
7	96*	Trevor Docking & Jack Simmons	Western Australia	TCA Ground , Hobart	1978/79
8	58	Jamie Cox & Scott Kremerskothen	New South Wales	Formby Recreation Ground , Devonport	2002/03
9	67	Graeme Cunningham & David Saker	Western Australia	WACA , Perth	2001/02
=10	28	Michael Farrell & Mark Ridgeway	Western Australia	Bellerive Oval , Hobart	1996/97
=10	28	Sean Clingeleffer & Shannon Tubb	South Australia	Adelaide Oval , Adelaide	2001/02
Source: . Last updated: 29 June 2007.	Source: . Last updated: 29 June 2007.	Source: . Last updated: 29 June 2007.	Source: . Last updated: 29 June 2007.	Source: . Last updated: 29 June 2007.	Source: . Last updated: 29 June 2007.
