Game	January	Opponent	Score	Record	Points
39	2	@ Los Angeles Kings	7–4	29–10–0	58
40	4	@ St. Louis Blues	1–2	29–11–0	58
41	9	Washington Capitals	4–0	30–11–0	60
42	11	@ New Jersey Devils	8–4	31–11–0	62
43	12	Calgary Flames	3–0	32–11–0	64
44	14	New Jersey Devils	3–2	33–11–0	66
45	17	New York Islanders	3–4	33–12–0	66
46	18	@ Washington Capitals	2–5	33–13–0	66
47	21	@ New York Islanders	3–7	33–14–0	66
48	23	Detroit Red Wings	5–2	34–14–0	68
49	25	@ St. Louis Blues	1–0	35–14–0	70
50	28	@ Pittsburgh Penguins	2–2 OT	35–14–1	71
51	30	@ New York Islanders	4–8	35–15–1	71
