Tournament	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	A	A	A	A	A	Q2	1R	1R
French Open	A	A	A	A	A	A	2R	Q2	1R	1R
Wimbledon	A	A	A	A	A	Q1	Q2	Q1	Q1	1R
US Open	A	A	A	A	A	2R	1R	Q2	1R	1R
Win–Loss	0–0	0–0	0–0	0–0	0–0	1–1	1–2	0–0	0–3	0–4
ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals
Tour Finals	A	A	A	A	A	A	A	A	A	A
Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles
Davis Cup	Z2	Z2	Z2	Z1	Z1	Z2	Z2	Z2	Z1	Z1
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer	NH	A	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	A
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells	A	A	A	A	A	A	A	A	A	1R
Miami	A	A	A	A	A	A	Q1	Q1	A	A
Monte Carlo	A	A	A	A	A	A	A	A	Q1	A
Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–1
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
ATP Tournaments Played	0	0	1	0	0	2	4	2	12	13
ATP Finals Reached	0	0	0	0	0	0	0	0	0	0
ATP Tournaments Won	0	0	0	0	0	0	0	0	0	0
Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface	Statistics by surface
Hard Win–Loss	0–1	0–1	0–0	1–1	0–1	1–2	0–2	0–0	0–3	0–6
Clay Win–Loss	0–0	0–1	2–3	0–0	0–0	1–1	3–3	6–3	5–9	1–7
Grass Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–1
Carpet Win–Loss	0–0	0–0	0–1	0–0	0–1	1–0	0–0	0–0	0–0	0–0
Overall Win–Loss	0–1	0–2	2–4	1–1	0–2	3–3	3–5	6–3	5–12	1–14
Win (%)	0%	0%	33%	50%	0%	50%	38%	67%	29%	7%
Year-End Ranking	833	393	259	893	733	153	124	93	68	306
