Place	Player	Country	Score	To par
1	Lee Janzen	United States	67-67=134	–6
T2	Payne Stewart	United States	70-66=136	–4
T2	Tom Watson	United States	70-66=136	–4
T4	Corey Pavin	United States	68-69=137	–3
T4	Nick Price	Zimbabwe	71-66=137	–3
6	Scott Hoch	United States	66-72=138	–2
T7	Billy Andrade	United States	72-67=139	–1
T7	Paul Azinger	United States	71-68=139	–1
T7	Fred Couples	United States	68-71=139	–1
T7	Bob Gilder	United States	70-69=139	–1
T7	Jeff Maggert	United States	69-70=139	–1
T7	Mike Standly	United States	70-69=139	–1
