Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1997	Thomas Wapp	Elena Nozdran	Mihail Popov Svetoslav Stojanov	Elena Nozdran Viktoria Evtuschenko	Valeriy Strelcov Elena Nozdran
1998	Konstantin Tatranov	Elena Nozdran	Mihail Popov Svetoslav Stojanov	Elena Nozdran Viktoria Evtuschenko	Michael Keck Nicol Pitro
1999	Pullela Gopichand	Marina Andrievskaya	Mihail Popov Svetoslav Stojanov	Nicol Pitro Anika Sietz	Michael Keck Nicol Pitro
2000	Xie Yangchun	Xu Huaiwen	Vincent Laigle Svetoslav Stoyanov	Nicol Pitro Nicole Grether	Björn Siegemund Nicol Pitro
2001	No competition	No competition	No competition	No competition	No competition
2002	Kasper Ødum	Zen Yaqiong	Vincent Laigle Svetoslav Stoyanov	Akiko Nakashima Chihiro Ohsaka	Jonas Jensen Majken Vange
2003	Nikhil Kanetkar	Tine Rasmussen	Frédéric Mawet Wouter Claes	Kamila Augustyn Nadieżda Kostiuczyk	Vladislav Druzchenko Elena Nozdran
2004	Chetan Anand	Ella Karachkova	Thomas Sanave Rupesh Kumar	Anastasia Russkikh Petya Nedelcheva	Svetoslav Stoyanov Anastasia Russkikh
2005	No competition	No competition	No competition	No competition	No competition
2006	Ville Lang	Ella Karachkova	Alexandr Nikolaenko Vitalij Durkin	Nina Vislova Valeria Sorokina	Alexandr Russkikh Anastasia Russkikh
2007	Przemyslaw Wacha	Tracey Hallam	Carsten Mogensen Mathias Boe	Elin Bergblom Johanna Persson	Ingo Kindervater Kathrin Piotrowski
2008	Andre Kurniawan Tedjono	Olga Konon	Richard Eidestedt Andrew Ellis	Shendy Puspa Irawati Meiliana Jauhari	Fran Kurniawan Shendy Puspa Irawati
2009	Rajiv Ouseph	Ella Diehl	Christopher Langridge Robin Middleton	Valeria Sorokina Nina Vislova	Robert Mateusiak Nadieżda Kostiuczyk
2010	cancelled	cancelled	cancelled	cancelled	cancelled
