Res.	Record	Opponent	Method	Round	Time	Location
Loss	10-7	Jeremy Kimball	Decision (unanimous)	3	5:00	Denver, Colorado , United States
Win	10-6	Garrett Olson	TKO (punches)	2	4:04	Honolulu, Hawaii , United States
Win	9-6	Gary Tapusoa	TKO (punches)	3	4:42	Kansas City, Kansas , United States
Loss	8-6	Tomasz Drwal	Submission (rear-naked choke)	2	1:03	Dallas, Texas , United States
Win	8-5	Xavier Foupa-Pokam	TKO (punches)	1	0:37	Las Vegas, Nevada , United States
Loss	7-5	Thales Leites	Submission (rear-naked choke)	1	1:18	Rosemont, Illinois , United States
Loss	7-4	Mike Massenzio	Submission (kimura)	1	1:28	Omaha, Nebraska , United States
Win	7-3	Marvin Eastman	KO (punches)	1	1:08	Las Vegas, Nevada , United States
Loss	6-3	Patrick Cote	TKO (punches)	1	1:44	Las Vegas, Nevada , United States
Win	6-2	Jordan Radev	KO (punches)	1	0:33	Hollywood, Florida , United States
Loss	5-2	Martin Kampmann	Submission (arm-triangle choke)	1	4:06	Columbus, Ohio , United States
Win	5-1	Alessio Sakara	TKO (punches)	1	4:07	Sacramento, California , United States
Win	4-1	Brian Monahan	TKO (punches)	1	N/A	Moline, Illinois , United States
Win	3-1	Steve Evan Dau	Submission (punches)	2	1:26	St. Charles, Illinois , United States
Win	2-1	Rafal Piszczek	TKO (punches)	2	2:37	Hammond, Indiana , United States
Win	1-1	Claude Patrick	Decision (unanimous)	3	5:00	Hull, Quebec , Canada
Loss	0-1	Nate Quarry	TKO (punches)	2	3:03	Orem, Utah , United States
