Week #	Theme	Song choice	Original artist	Order #	Result
Top 80	N/A	Jeritan Batin Ku	P. Ramlee	N/A	Advanced
Top 60	NA	Juwita (Citra Terindah)	M. Nasir	NA	Advanced
Top 40	NA	Mentera Semerah Padi	M. Nasir	NA	Advanced
Top 20	NA	Belaian Jiwa	Carefree	NA	Advanced
Top 12	Contestant’s Choice	Coba	Faizal Tahir	10	Safe
Top 11	Memori Tercipta	Rahsia Pohon Cemara	Exist	8	Safe
Top 10	Contestant’s Choice	Crazy In Love	Beyoncé	10	Safe
Top 9	Songwriter’s Week	La La La Kerjalah	Meet Uncle Hussein	5	Safe (Immunity Winner)
Top 8	Opposites Attract	Gantung	Melly Goeslaw	1	Safe
Top 7	Contestant’s Choice	Ingin Bersamamu	Syafinaz	7	Safe (Immunity Winner)
Top 6	Contestant’s Choice	Umbrella	Rihanna	1	Safe
Top 5	Sheila Majid ’s Song	Aku Cinta Padamu	Sheila Majid	5	Safe
Top 3	Judge's Choice Viewer’s Choice	Crazy In Love Coba	Beyoncé Faizal Tahir	1 3	Safe
