Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	Philadelphia	L 95–103 (OT)	Derrick Rose (24)	Tyrus Thomas (13)	Ben Gordon (4)	United Center 20,485	8–10
19	December 3	@ Milwaukee	L 90–97 (OT)	Ben Gordon (22)	Drew Gooden (9)	Derrick Rose (9)	Bradley Center 13,684	8–11
20	December 6	Washington	W 117–110 (OT)	Luol Deng (26)	Drew Gooden (10)	Derrick Rose (8)	United Center 21,741	9–11
21	December 9	New York	W 105–100 (OT)	Drew Gooden (22)	Drew Gooden (16)	Derrick Rose (7)	United Center 19,519	10–11
22	December 12	@ Memphis	L 96–103 (OT)	Ben Gordon (26)	Drew Gooden (13)	Derrick Rose (11)	FedExForum 17,132	10–12
23	December 13	New Jersey	W 113–104 (OT)	Ben Gordon (29)	Joakim Noah (8)	Ben Gordon , Derrick Rose (6)	United Center 21,751	11–12
24	December 16	@ Charlotte	L 101–110 (OT)	Ben Gordon (25)	Tyrus Thomas , Drew Gooden (9)	Derrick Rose (7)	Time Warner Cable Arena 11,225	11–13
25	December 17	L.A. Clippers	W 115–109 (OT)	Andrés Nocioni , Ben Gordon (22)	Drew Gooden (11)	Derrick Rose (7)	United Center 20,102	12–13
26	December 19	@ Boston	L 108–126 (OT)	Luol Deng (19)	Aaron Gray (8)	Derrick Rose (5)	TD Banknorth Garden 18,624	12–14
27	December 20	Utah	W 106–98 (OT)	Ben Gordon (26)	Joakim Noah (9)	Ben Gordon , Derrick Rose , Andrés Nocioni (3)	United Center 22,046	13–14
28	December 23	@ Detroit	L 98–104 (OT)	Larry Hughes (19)	Tyrus Thomas (12)	Ben Gordon (7)	The Palace of Auburn Hills 22,076	13–15
29	December 26	@ Miami	L 77–90 (OT)	Ben Gordon (15)	Aaron Gray (11)	Derrick Rose (3)	American Airlines Arena 19,600	13–16
30	December 27	@ Atlanta	L 117–129 (OT)	Ben Gordon (33)	Tyrus Thomas (9)	Derrick Rose (7)	Philips Arena 18,031	13–17
31	December 29	@ New Jersey	W 100–87 (OT)	Ben Gordon (24)	Andrés Nocioni (8)	Derrick Rose (13)	Izod Center 18,786	14–17
