Country	Name	Host	Channel	Prize	First year aired
Horrid Henry	The Celebrity Chair	Shamar Stewart	CITV	50 000	August 3 - November 23, 2002
Phineas and Ferb	The Chair	Shamar Stewart	Disney Channel	50.000	August 3, 2002 - November 16, 2002
Wander Over Yonder	The Chair	Susanne Blakesbee	Disney XD	25,000	2013
Yo Gabba Gabba!	The Chair	Christian Jacobs as Plex	Nickelodeon	25 000	2007 - 2008
Go, Diego, Go!	The Chair: Who Saves Animals Next	Jake T. Austin as Diego	Nick Jr.	25 000	2006
Miss BG	Zone Rouge	Emma Forbes	Qubo	€ 30,000	January 20, 2002 - September 22, 2002
Doc McStuffins	The Chair	Emma Forbes	Disney Junior	20,000	August 31, 2012 - November 9, 2012
Peppa Pig	The Chair	Shamar Stewart	Nick Jr.	50,000	May 31, 2004
Static Shock	The Chair	Biz Markie	Kids WB	RUB 410,000	Septemder 7, 2002 — August 28, 2004
The Haunted Hathaways	The Bogey Chair	Biz Markie	Nickelodeon	410,000	August 31-November 9, 2002
