Name	Location	Years as tallest	Height metres / ft	Floors
White Tower	Tower Hill	1098–1310	01.0 27 / 90	03.0 N/A
Old St Paul's Cathedral [A ]	City of London	1310–1666	07.0 150 / 493 [B ]	08.0 N/A
Southwark Cathedral	Southwark	1666–1677	02.0 50 / 163	04.0 N/A
Monument to the Great Fire of London	City of London	1677–1683	03.0 62 / 202	05.0 N/A
St Mary-le-Bow	City of London	1683–1710	04.0 72 / 236	06.0 N/A
St Paul's Cathedral	City of London	1710–1939	05.0 111 / 365	07.0 N/A
Battersea Power Station [D ]	Kirtling Street	1939–1950	06.0 113 / 370	01.0 10
Crystal Palace transmitting station [C ]	Crystal Palace Park	1950–1991	08.0 219 / 720	09.0 N/A
One Canada Square	Canary Wharf	1991–2010	09.0 235 / 771	02.0 50
Shard London Bridge	Southwark	2010—	306 / 1004	87
