Name	#	Position	Height	Weight ( lb. )	Year	Hometown	Previous School
Gilbert Brown Category:Articles with hCards	5	Forward	ft6in (m)	215	2 Senior ( RS )	Harrisburg , PA	South Kent School
Isaiah Epps Category:Articles with hCards	2	Guard	ft2in (m)	175	2 Freshman	Plainfield , NJ	Hargrave Military Academy / Plainfield HS
Ashton Gibbs Category:Articles with hCards	12	Guard	ft2in (m)	190	1 Junior	Scotch Plains , NJ	Seton Hall Prep
Gary McGhee Category:Articles with hCards	52	Center	ft11in (m)	250	2 Senior	Anderson , IN	Highland HS
J.J. Moore Category:Articles with hCards	44	Forward	ft6in (m)	200	2 Freshman	Brentwood , NY	South Kent School / Brentwood HS
Aron Nwankwo Category:Articles with hCards	15	Forward	ft7in (m)	200	2 Freshman	Baltimore , MD	Baltimore City College
Lamar Patterson Category:Articles with hCards	21	Guard/Forward	ft5in (m)	220	1 Freshman (RS)	Lancaster , PA	St. Benedict's Prep / J.P. McCaskey H.S.
J.J. Richardson Category:Articles with hCards	55	Forward/Center	ft7in (m)	235	1 Sophomore	Missouri City , TX	Fort Bend Hightower HS
Nick Rivers Category:Articles with hCards	14	Guard	ft0in (m)	180	1 Senior	Phoenix , AZ	Brophy College Prep
Nasir Robinson Category:Articles with hCards	35	Forward	ft5in (m)	220	1 Junior	Chester , PA	Chester HS
Dante Taylor Category:Articles with hCards	11	Forward	ft9in (m)	240	1 Sophomore	Greenburgh , NY	National Christian Academy (MD)
Brad Wanamaker Category:Articles with hCards	22	Guard	ft4in (m)	210	2 Senior	Philadelphia , PA	Roman Catholic HS
Travon Woodall Category:Articles with hCards	1	Guard	ft11in (m)	190	1 Sophomore (RS)	Brooklyn , NY- Paterson , NJ	St. Anthony HS
Cameron Wright Category:Articles with hCards	3	Guard	ft4in (m)	200	1 Freshman	Cleveland , OH	Benedictine HS
