Competition	Round	Opponent	Result	Score	Home/Away	Venue	Attendance	Date
Friendly	N/A	Warrington Wolves	Lose	30-22	Away	Halliwell Jones Stadium	6,573	13 Jan 2008
Friendly	N/A	Bradford Bulls	Win	16-28	Away	Grattan Stadium	5,036	20 Jan 2008
Friendly	N/A	Widnes Vikings	Win	18-42	Away	Halton Stadium	5,106	27 Jan 2008
Super League XIII	1	Harlequins RL	Win	28-47	Away	Twickenham Stoop	8,041	9 Feb 2008
Super League XIII	2	Castleford Tigers	Win	28-16	Home	JJB Stadium	16,667	15 Feb 2008
Super League XIII	3	Hull	Lose	24-22	Away	KC Stadium	13,226	22 Feb 2008
Super League XIII	4	Bradford Bulls	Win	28-14	Home	JJB Stadium	15,444	1 Mar 2008
Super League XIII	5	Warrington Wolves	Lose	32-20	Away	Halliwell Jones Stadium	13,024	8 Mar 2008
Super League XIII	6	Huddersfield Giants	Win	19-20	Away	Galpharm Stadium	8,417	16 Mar 2008
Super League XIII	7	St. Helens	Lose	46-10	Away	Knowsley Road	17,500	21 Mar 2008
Super League XIII	8	Hull Kingston Rovers	Win	18-12	Home	JJB Stadium	16,457	24 Mar 2008
Super League XIII	9	Wakefield Trinity Wildcats	Win	8-4	Home	JJB Stadium	12,933	28 Mar 2008
Super League XIII	10	Leeds Rhinos	Win	10-14	Away	Headingley Carnegie Stadium	18,769	5 Apr 2008
Super League XIII	11	Catalans Dragons	Lose	24-26	Home	JJB Stadium	13,044	11 Apr 2008
Challenge Cup	Rnd4	Pia Donkeys	Win	74 - 4	Home	JJB Stadium	4,423	20 Apr 2008
Super League XIII	12	Bradford Bulls	Lose	26-12	Away	Grattan Stadium	11,894	27 Apr 2008
Super League XIII	13	St Helens	Lose	57-16	Away	Millennium Stadium	32,516	4 May 2008
Challenge Cup	Rnd5	Whitehaven	Win	106-8	Home	JJB Stadium	3,814	12 May 2008
Super League XIII	14	Warrington Wolves	Win	38-14	Home	JJB Stadium	15,537	16 May 2008
Super League XIII	15	Wakefield Trinity Wildcats	Win	38-30	Away	Atlantic Solutions Stadium	6,370	25 May 2008
Challenge Cup	QF	Leeds Rhinos	Lose	23-16	Away	Headingley Carnegie Stadium	10,129	1 June 2008
Super League XIII	16	Huddersfield Giants†	Postponed	N/A	Home	JJB Stadium	N/A	6 Jun 2008
Super League XIII	17	Catalans Dragons	Lose	45-38	Away	Stade Gilbert Brutus	9,125	14 Jun 2008
Super League XIII	18	Castleford Tigers	Draw	22-22	Away	The Jungle	7,048	22 Jun 2008
Super League XIII	19	Harlequins RL	Win	38-20	Home	JJB Stadium	11,453	27 Jun 2008
Super League XIII	20	Leeds Rhinos	Win	23-22	Home	JJB Stadium	14,911	5 Jul 2008
Super League XIII	21	Hull Kingston Rovers	Lose	39-22	Away	Craven Park	8,481	13 Jul 2008
Super League XIII	22	St Helens	Lose	46-12	Home	JJB Stadium	19,958	18 Jul 2008
Super League XIII	16	Huddersfield Giants†	Lose	34-4	Home	JJB Stadium	12,216	25 Jul 2008
Super League XIII	23	Hull FC	Win	66-6	Home	JJB Stadium	12,842	1 Aug 2008
Super League XIII	24	Catalans Dragons	Draw	16-16	Away	Stade Gilbert Brutus	9,535	9 Aug 2008
Super League XIII	25	Wakefield Trinity Wildcats	Win	32-22	Home	JJB Stadium	12,319	15 Aug 2008
Super League XIII	26	Leeds Rhinos	Lose	16-52	Home	JJB Stadium	14,778	22 Aug 2008
Super League XIII	27	St. Helens	Draw	16-16	Away	Knowsley Road	14,113	5 Sep 2008
Super League XIII Playoffs	Week 1	Bradford Bulls‡	Win	30-14	Home/Neutral	The Stobart Stadium Halton	6,806	12 Sep 2008
Super League XIII Playoffs	Week 2	Catalans Dragons	Win	26-50	Away	Stade Gilbert Brutus	9,985	20 Sep 2008
