Place	Player	Country	Score	To par	Money ( £ )
1	Tiger Woods	United States	66-67-71-70=274	−14	720,000
2	Colin Montgomerie	Scotland	71-66-70-72=279	−9	430,000
T3	Fred Couples	United States	68-71-73-68=280	−8	242,350
T3	José María Olazábal	Spain	68-70-68-74=280	−8	242,350
T5	Michael Campbell	New Zealand	69-72-68-72=281	−7	122,100
T5	Sergio García	Spain	70-69-69-73=281	−7	122,100
T5	Retief Goosen	South Africa	68-73-66-74=281	−7	122,100
T5	Bernhard Langer	Germany	71-69-70-71=281	−7	122,100
T5	Geoff Ogilvy	Australia	71-74-67-69=281	−7	122,100
T5	Vijay Singh	Fiji	69-69-71-72=281	−7	122,100
