Date	Visitor	Score	Home	Record
March 2	Vancouver	3–7	Boston	16–41–6
March 4	Vancouver	0–5	Montreal	16–42–6
March 5	Vancouver	1–6	New York	16–43–6
March 8	Philadelphia	6–5	Vancouver	16–44–6
March 10	Buffalo	2–3	Vancouver	17–44–6
March 14	Pittsburgh	7–4	Vancouver	17–45–6
March 16	Vancouver	2–6	Minnesota	17–46–6
March 17	Vancouver	6–2	Buffalo	18–46–6
March 19	St. Louis	3–3	Vancouver	18–46–7
March 21	Detroit	7–5	Vancouver	18–47–7
March 24	Toronto	3–5	Vancouver	19–47–7
March 26	Vancouver	1–4	Philadelphia	19–48–7
March 28	Vancouver	1–2	St. Louis	19–49–7
March 29	Vancouver	2–4	Los Angeles	19–50–7
March 31	Los Angeles	4–4	Vancouver	19–50–8
