Tie no	Home team	Score	Away team	Date
1	Chester	1–2	Bradford Park Avenue	25 November 1950
2	Darlington	2–7	Rotherham United	25 November 1950
3	Bournemouth & Boscombe Athletic	1–0	Colchester United	25 November 1950
4	Bristol City	4–0	Gloucester City	25 November 1950
5	Rochdale	3–1	Willington	25 November 1950
6	Reading	3–1	Cheltenham Town	25 November 1950
7	Nottingham Forest	6–1	Torquay United	25 November 1950
8	Crewe Alexandra	4–0	North Shields	25 November 1950
9	Lincoln City	1–1	Southport	25 November 1950
Replay	Southport	3–2	Lincoln City	28 November 1950
10	Gainsborough Trinity	0–3	Plymouth Argyle	25 November 1950
11	Scarborough	1–2	Rhyl	25 November 1950
12	Wrexham	1–0	Accrington Stanley	25 November 1950
13	Bishop Auckland	2–2	York City	25 November 1950
Replay	York City	2–1	Bishop Auckland	29 November 1950
14	Bristol Rovers	1–1	Llanelli	25 November 1950
Replay	Llanelli	1–1	Bristol Rovers	28 November 1950
2nd replay	Bristol Rovers	3–1	Llanelli	4 December 1950
15	Norwich City	2–0	Watford	25 November 1950
16	Glastonbury	1–2	Exeter City	25 November 1950
17	Bradford City	2–2	Oldham Athletic	25 November 1950
Replay	Oldham Athletic	2–1	Bradford City	28 November 1950
18	Carlisle United	2–1	Barrow	25 November 1950
19	Crystal Palace	1–4	Millwall	29 November 1950
20	Worcester City	1–4	Hartlepools United	25 November 1950
21	Witton Albion	1–2	Nelson	25 November 1950
22	Southend United	0–3	Swindon Town	25 November 1950
23	Mansfield Town	1–0	Walthamstow Avenue	25 November 1950
24	Bromsgrove Rovers	1–3	Hereford United	25 November 1950
25	Port Vale	3–2	New Brighton	25 November 1950
26	Halifax Town	2–3	Ashington	25 November 1950
27	Newport County	4–2	Walsall	25 November 1950
28	Cleator Moor Celtic	0–5	Tranmere Rovers	25 November 1950
29	Aldershot	2–2	Bromley	25 November 1950
Replay	Bromley	0–1	Aldershot	29 November 1950
30	Guildford City	1–5	Dartford	25 November 1950
31	Tooting & Mitcham United	2–3	Brighton & Hove Albion	25 November 1950
32	Chelmsford City	2–2	Tonbridge	25 November 1950
Replay	Tonbridge	0–1	Chelmsford City	29 November 1950
33	Leyton Orient	1–2	Ipswich Town	25 November 1950
34	Linby Colliery	1–4	Gillingham	25 November 1950
