Game	Date	Opponent	Score	Location	Attendance	Record	Points
1	October 1	Boston Bruins	4 - 1	TD Garden	17565	1-0-0	2
2	October 3	Toronto Maple Leafs	6 - 4	Verizon Center	18277	2-0-0	4
3	October 6	Philadelphia Flyers	6 - 5 OT	Wachovia Center	19567	2-0-1	5
4	October 8	New York Rangers	4 - 3	Verizon Center	18277	2-1-1	5
5	October 10	Detroit Red Wings	3 - 2	Joe Louis Arena	19122	2-2-1	5
6	October 12	New Jersey Devils	3 - 2 SO	Verizon Center	18277	2-2-2	6
7	October 15	San Jose Sharks	4 - 1	Verizon Center	18277	3-2-2	8
8	October 17	Nashville Predators	3 - 2 SO	Verizon Center	18277	4-2-2	10
9	October 22	Atlanta Thrashers	5 - 4	Philips Arena	13192	5-2-2	12
10	October 24	New York Islanders	3 - 2 OT	Nassau Veterans Memorial Coliseum	11541	6-2-2	14
11	October 27	Philadelphia Flyers	4 - 2	Verizon Center	18277	7-2-2	16
12	October 29	Atlanta Thrashers	4 - 3	Philips Arena	12893	8-2-2	18
