Chapter	Chartered	School	State	Status	Charter Range
Alpha	1873	University of Massachusetts Amherst	Massachusetts	Active	1873-Present
Beta	1888	Union College	New York	Inactive	1888-1997
Gamma See also Phi Tau [i ]	1889	Cornell University	New York	Active	1889-Present
Delta	1891	West Virginia University	West Virginia	Active	1891-Present
Epsilon	1893	Yale University	Connecticut	Inactive	1893-1929
Zeta	1896	City College of New York	New York	Inactive	1896-1973
Eta	1897 2011	University of Maryland	Maryland	Active	1897-2002 2009-Present
Theta	1897	Columbia University	New York	Inactive	1897-1933
Iota	1899	Stevens Institute of Technology	New Jersey	Active	1899-Present
Kappa	1899	Penn State University	Pennsylvania	Active	1899-Present
Lambda	1899	George Washington University	Washington, D.C.	Active	1899-Present
Mu Colony	1900	University of Pennsylvania	Pennsylvania	Colony	1900-1997 2001-2007
Nu	1901	Lehigh University	Pennsylvania	Active	1901-Present
Xi	1902	St. Lawrence University	New York	Inactive	1902-2004
Omicron	1902	MIT	Massachusetts	Active	1902-Present
Pi	1903	Franklin and Marshall College	Pennsylvania	Inactive	1903-1983
Rho	1903	Queen's University	Ontario (Canada)	Inactive	1903-1914
Sigma	1903	St. John's College	Maryland	Inactive	1903-1940
Tau	1905	Dartmouth College	New Hampshire	Seceded [a ] [i ]	1905-1956
Upsilon	1906	Brown University	Rhode Island	Inactive	1906-1939
Phi	1906	Swarthmore College	Pennsylvania	Inactive	1906-1991
Chi	1906	Williams College	Massachusetts	Inactive	1906-1966
Psi	1907	University of Virginia	Virginia	Active	1907-Present
Omega	1909	UC Berkeley	California	Inactive	1909-1992
Alpha Epsilon Colony	1910	Emporia State University	Kansas	Colony	1910-1989 1994-2007 2013-present
Alpha Deuteron See also Phi Zeta	1910	University of Illinois	Illinois	Active	1910-2008 2012-Present
Beta Deuteron	1910	University of Minnesota	Minnesota	Active	1910-Present
Gamma Deuteron	1911	Iowa State University	Iowa	Inactive	1911-1939
Delta Deuteron	1915	University of Michigan	Michigan	Colony	1915-2003 2012-present
Epsilon Deuteron	1915	Worcester Polytechnic Institute	Massachusetts	Active	1915-Present
Zeta Deuteron	1917	UW–Madison	Wisconsin	Inactive	1917-1927 1954-1973
Eta Deuteron	1917	University of Nevada at Reno	Nevada	Inactive	1917-1997
Theta Deuteron	1921	Oregon State University	Oregon	Inactive	1921-2005
Iota Deuteron	1923	Kansas State University	Kansas	Inactive	1923-1941
Kappa Deuteron	1923	Georgia Institute of Technology	Georgia	Active	1923-Present
Lambda Deuteron	1923	University of Washington	Washington	Inactive	1923-1992
Mu Deuteron	1923	University of Montana	Montana	Inactive	1923-1972
Nu Deuteron	1923	Stanford University	California	Inactive	1923-1973
Xi Deuteron	1925	University of Tennessee	Tennessee	Active	1925-Present
Omicron Deuteron	1925	University of Alabama	Alabama	Active	1925-1988 1992-1999 2007-Present
Pi Deuteron	1925	Ohio State University	Ohio	Active	1925-1938 1946-1978
Rho Deuteron	1925	Gettysburg College	Pennsylvania	Active	1925-Present
Sigma Deuteron	1925	University of Nebraska	Nebraska	Inactive	1925-1941
Tau Deuteron	1926	Carnegie-Mellon University	Pennsylvania	Inactive	1926-1937
Upsilon Deuteron	1926	University of North Carolina	North Carolina	Inactive	1926-1936 1967-1982
Phi Deuteron	1926	University of Kentucky	Kentucky	Active	1926-Present
Chi Deuteron	1926	Washington State University	Washington	Inactive	1926-2005
Psi Deuteron	1926	University of Oregon	Oregon	Inactive	1926-2002
Beta Epsilon	1927	Pittsburg State University	Kansas	Active	1927-Present
Gamma Epsilon	1927	Truman State University	Missouri	Active	1927-Present
Omega Deuteron	1928	University of Southern California	California	Active	1928-2003 2011-Present
Alpha Triton	1928	Wesleyan University	Connecticut	Inactive	1928-1952
Beta Triton	1928	Knox College	Illinois	Seceded [h ]	1928-1955
Gamma Triton	1929	University of South Carolina	South Carolina	Active	1929-1963 2004-Present
Epsilon Delta	1930	Eastern Illinois University	Illinois	Inactive	1930-1986
Epsilon Epsilon	1930	Northeastern State University	Oklahoma	Active	1930-Present
