Place	Player	Country	Score	To par	Money ( $ )
T1	Jack Nicklaus	United States	72-70-72-69=283	–1	Playoff
T1	Arnold Palmer	United States	71-68-73-71=283	–1	Playoff
T3	Bobby Nichols	United States	70-72-70-73=285	+1	5,500
T3	Phil Rodgers	United States	74-70-69-72=285	+1	5,500
5	Gay Brewer	United States	73-72-73-69=287	+3	4,000
T6	Tommy Jacobs	United States	74-71-73-70=288	+4	2,750
T6	Gary Player	South Africa	71-71-72-74=288	+4	2,750
T8	Doug Ford	United States	74-75-71-70=290	+6	1,767
T8	Gene Littler	United States	69-74-72-75=290	+6	1,767
T8	Billy Maxwell	United States	71-70-75-74=290	+6	1,767
