Speed	Craft	Pilot(s)	Location	Date
mph (km/h)	HD-4	Casey Baldwin	Bras d'Or Lake	19 September 1919
mph (km/h)	Miss America	Gar Wood	Detroit River	15 September 1920
mph (km/h)	Miss America II	Gar Wood	Detroit River	6 September 1921
mph (km/h)	Farman Hydroglider	Jules Fisher	River Seine	10 November 1924
mph (km/h)	Miss America II	George Wood	Detroit River	4 September 1928
mph (km/h)	Miss America VII	Gar Wood	Indian Creek	23 March 1929
mph (km/h)	Miss England II	Henry Segrave	Windermere	13 June 1930
mph (km/h)	Miss America IX	Gar Wood	Indian Creek	20 March 1931
mph (km/h)	Miss England II	Kaye Don	Paraná River	15 April 1931
mph (km/h)	Miss England II	Kaye Don	Lake Garda	31 July 1931
mph (km/h)	Miss America IX	Gar Wood	Indian Creek	5 February 1932
mph (km/h)	Miss England III	Kaye Don	Loch Lomond	18 July 1932
mph (km/h)	Miss America X	Gar Wood	St. Clair River	20 September 1932
mph (km/h)	Bluebird K3	Malcolm Campbell	Lake Maggiore	1 September 1937
mph (km/h)	Bluebird K3	Malcolm Campbell	Lake Maggiore	2 September 1937
mph (km/h)	Bluebird K3	Malcolm Campbell	Hallwilersee	17 September 1938
mph (km/h)	Bluebird K4	Malcolm Campbell	Coniston Water	19 August 1939
mph (km/h)	Slo-Mo-Shun IV	Stanley Sayres , Ted O. Jones	Lake Washington	26 June 1950
mph (km/h)	Slo-Mo-Shun IV	Stanley Sayres, Elmer Leninschmidt	Lake Washington	7 July 1952
mph (km/h)	Bluebird K7	Donald Campbell	Ullswater	23 July 1955
mph (km/h)	Bluebird K7	Donald Campbell	Lake Mead	16 November 1955
mph (km/h)	Bluebird K7	Donald Campbell	Coniston Water	19 September 1956
mph (km/h)	Bluebird K7	Donald Campbell	Coniston Water	7 November 1957
mph (km/h)	Bluebird K7	Donald Campbell	Coniston Water	10 November 1958
mph (km/h)	Bluebird K7	Donald Campbell	Coniston Water	14 May 1959
mph (km/h)	Bluebird K7	Donald Campbell	Lake Dumbleyung	31 December 1964
mph (km/h)	Hustler	Lee Taylor	Lake Guntersville	30 June 1967
mph (km/h)	Spirit of Australia	Ken Warby	Blowering Dam	20 November 1977
mph (km/h)	Spirit of Australia	Ken Warby	Blowering Dam	8 October 1978
