Rank	Name	Nation	Points	Places
1	Carol Heiss	United States	1490.1	9
2	Sjoukje Dijkstra	Netherlands	1424.8	20
3	Barbara Roles	United States	1414.9	26
4	Jana Mrázková	Czechoslovakia	1338.7	53
5	Joan Haanappel	Netherlands	1331.9	52
6	Laurence Owen	United States	1343.0	57
7	Regine Heitzer	Austria	1327.9	58
8	Anna Galmarini	Italy	1295.0	79
9	Karen Frohner	Austria	1266.0	99
10	Sandra Tewkesbury	Canada	1296.1	78
11	Nicole Hassler	France	1272.6	97
12	Wendy Griner	Canada	1275.0	98
13	Danielle Rigoulot	France	1253.8	107
14	Barbara Martin	Germany	1219.8	132
15	Patricia Pauley	Great Britain	1213.8	134
16	Carla Tichatschek	Italy	1201.1	143
17	Junko Ueno	Japan	1176.5	158
18	Ursel Barkey	Germany	1164.5	166
19	Carolyn Krau	Great Britain	1160.3	168
20	Liliane Crosa	Switzerland	1157.4	171
21	Miwa Fukuhara	Japan	1134.7	188
22	Franziska Schmidt	Switzerland	1141.8	184
23	Marion Sage	South Africa	1000.9	210
24	Aileen Shaw	Australia	965.7	221
25	Patricia Eastwood	South Africa	970.8	219
26	Mary Wilson	Australia	890.2	232
