Year	Category	Character	For The Show	Result
2003	Favourite Patni	Prerna Basu	Kasautii Zindagii Kay	Nominated
2003	Favourite Beti	Prerna Basu	Kasautii Zindagii Kay	Nominated
2003	Favourite Jodi (paired with Cezanne Khan )	Prerna Basu	Kasautii Zindagii Kay	Won
2003	Favourite Bahu	Prerna Basu	Kasautii Zindagii Kay	Nominated
2004	Favourite Maa	Prerna Basu	Kasautii Zindagii Kay	Won
2004	Favourite Bahu	Prerna Basu	Kasautii Zindagii Kay	Won
2005	Favourite Maa	Prerna Basu	Kasautii Zindagii Kay	Won
2006	Favourite Saas	Prerna Basu	Kasautii Zindagii Kay	Nominated
2006	Favourite Maa	Prerna Basu	Kasautii Zindagii Kay	Won
2007	Favourite Maa	Prerna Basu	Kasautii Zindagii Kay	Won
2007	Favourite Jodi (paired with Cezanne Khan )	Prerna Basu'	Kasautii Zindagii Kay	Nominated
2007	Favourite Patni	Prerna Basu	Kasautii Zindagii Kay	Nominated
2008	SPL Honour for immense work for Star Plus	Prerna Basu	Kasautii Zindagii Kay	Won
