Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3, 1967	Boston Patriots	W 26–21	Bears Stadium	1–0	35,488
2	September 10, 1967	at Oakland Raiders	L 0–51	Oakland-Alameda County Coliseum	1–1	25,423
3	September 17, 1967	at Miami Dolphins	L 21–35	Miami Orange Bowl	1–2	29,381
4	September 24, 1967	New York Jets	L 24–38	Bears Stadium	1–3	35,365
5	October 1, 1967	at Houston Oilers	L 6–10	Rice Stadium	1–4	21,798
6	October 8, 1967	Buffalo Bills	L 16–17	Bears Stadium	1–5	35,188
8	October 22, 1967	San Diego Chargers	L 21–38	Bears Stadium	1–6	34,464
9	October 29, 1967	at Kansas City Chiefs	L 9–52	Municipal Stadium	1–7	44,002
10	November 5, 1967	Oakland Raiders	L 17–21	Bears Stadium	1–8	29,043
11	November 12, 1967	Houston Oilers	L 18–20	Bears Stadium	1–9	30,392
12	November 19, 1967	at Buffalo Bills	W 21–20	War Memorial Stadium	2–9	30,891
13	November 23, 1967	at San Diego Chargers	L 20–24	San Diego Stadium	2–10	34,586
14	December 3, 1967	at New York Jets	W 33–24	Shea Stadium	3–10	61,615
16	December 17, 1967	Kansas City Chiefs	L 24–38	Bears Stadium	3–11	31,660
