Year	Race	Team	Pos.	Co-driver
1970	24 Hours of Daytona	John Wyer	1	Kinnunen / Redman
1970	12 Hours of Sebring	John Wyer	4	Kinnunen / Siffert
1970	1000km of Brands Hatch	John Wyer	1	Leo Kinnunen
1970	1000 km Monza	John Wyer	1	Leo Kinnunen
1970	Targa Florio	John Wyer	2	Leo Kinnunen
1970	1000 km Spa	John Wyer	Ret.	Leo Kinnunen
1970	1000 km Nürburgring	John Wyer	Ret.	Leo Kinnunen
1970	24 Hours of Le Mans	John Wyer	Ret.	Leo Kinnunen
1970	6 Hours of Watkins Glen	John Wyer	1	Leo Kinnunen
1970	1000 km Zeltweg	John Wyer	Ret.	Leo Kinnunen
1971	1000 km of Buenos Aires	John Wyer	Ret.	Jackie Oliver
1971	24 Hours of Daytona	John Wyer	1	Jackie Oliver
1971	12 Hours of Sebring	John Wyer	4	Jackie Oliver
1971	1000 km Brands Hatch	John Wyer	Ret.	Jackie Oliver
1971	1000 km Monza	John Wyer	1	Jackie Oliver
1971	1000 km Spa	John Wyer	1	Jackie Oliver
1971	Targa Florio	John Wyer	Ret.	Herbert Müller
1971	1000 km Nürburgring	John Wyer	2	Oliver / Siffert
1971	24 Hours of Le Mans	John Wyer	18	Jackie Oliver
1971	1000 km Zeltweg	John Wyer	1	Richard Attwood
