Season	Competition	Matches	Draw	Lost	Points
2013/2014	Top Class (Topklasse)	0	0	0	0
2012/2013	Top Class (Topklasse)	30	9	11	39
2011/2012	Top Class (Topklasse)	30	3	12	48
2010/2011	Top Class (Topklasse)	30	5	6	62
2009/2010	Head Class (Hoofdklasse) B	26	3	4	60
2008/2009	Head Class (Hoofdklasse) B	26	9	2	54
2007/2008	Head Class (Hoofdklasse) B	26	6	8	42
2006/2007	Head Class (Hoofdklasse) B	26	5	3	59
2005/2006	Head Class (Hoofdklasse) B	26	3	5	57
2004/2005	Head Class (Hoofdklasse) B	26	4	6	52
2003/2004	Head Class (Hoofdklasse) B	24	2	5	53
2002/2003	Head Class (Hoofdklasse) B	26	7	8	40
2001/2002	Head Class (Hoofdklasse) B	26	9	8	36
2000/2001	Head Class (Hoofdklasse) C	26	6	12	30
1999/2000	Head Class (Hoofdklasse) C	26	3	10	42
1998/1999	Head Class (Hoofdklasse) C	26	5	3	59
1997/1998	Head Class (Hoofdklasse) C	26	4	2	64
1996/1997	Head Class (Hoofdklasse) B	26	7	7	43
1995/1996	First Class (Eerste klasse) A	26	9	9	33
1994/1995	First Class (Eerste klasse) C	26	9	2	39
1993/1994	First Class (Eerste klasse) B	26	6	9	28
1992/1993	First Class (Eerste klasse) B	26	3	11	27
1991/1992	First Class (Eerste klasse) B	26	7	6	33
1990/1991	First Class (Eerste klasse) A	26	9	5	33
1989/1990	First Class (Eerste klasse) B	26	7	10	25
1988/1989	First Class (Eerste klasse)B	26	6	9	28
1987/1988	First Class (Eerste klasse) A	26	5	4	39
1986/1987	First Class (Eerste klasse) B	26	6	6	34
1985/1986	First Class (Eerste klasse) B	26	7	3	39
1984/1985	First Class (Eerste klasse) B	26	6	9	28
1983/1984	First Class (Eerste klasse) C	26	5	3	37
1982/1983	First Class (Eerste klasse) B	26	10	1	40
1981/1982	First Class (Eerste klasse) B	26	8	3	38
1980/1981	First Class (Eerste klasse) A	26	5	10	27
1979/1980	First Class (Eerste klasse) B	26	6	9	28
1978/1979	First Class (Eerste klasse) A	26	7	6	33
1977/1978	First Class (Eerste klasse) A	26	6	8	30
1976/1977	First Class (Eerste klasse) B	26	7	3	39
1975/1976	First Class (Eerste klasse)B	26	5	3	41
1974/1975	First Class (Eerste klasse) B	26	5	5	37
1973/1974	First Class (Eerste klasse)A	22	6	4	30
1972/1973	First Class (Eerste klasse) B	22	4	2	36
1971/1972	First Class (Eerste klasse) B	20	3	4	29
1970/1971	First Class (Eerste klasse) A	18	6	4	24
