Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	59.010	58.552	58.552
Paul Tracy	Forsythe Racing	58.887	58.594	58.594
Justin Wilson	RuSPORT	59.519	58.554	58.554
Oriol Servià	Newman/Haas Racing	1:00.013	58.795	58.795
Alex Tagliani	Team Australia	59.248	58.821	58.821
Mario Domínguez	Forsythe Racing	59.380	59.089	59.089
Jimmy Vasser	PKV Racing	59.507	59.256	59.256
Cristiano da Matta	PKV Racing	59.372	59.451	59.372
A. J. Allmendinger	RuSPORT	59.578	59.416	59.416
Nelson Philippe	Mi-Jack Conquest Racing	1:00.477	59.448	59.448
Andrew Ranger	Mi-Jack Conquest Racing	1:00.478	59.486	59.486
Björn Wirdheim	HVM Racing	1:00.402	59.705	59.705
Ricardo Sperafico	Dale Coyne Racing	1:00.687	59.961	59.961
Timo Glock	Rocketsports Racing	1:01.992	1:00.189	1:00.189
Alex Sperafico	HVM Racing	1:00.686	1:00.336	1:00.336
Ryan Dalziel	Dale Coyne Racing	1:00.877	1:00.436	1:00.436
Ryan Hunter-Reay	Rocketsports Racing	1:00.783	1:00.591	1:00.591
Marcus Marshall	Team Australia	1:01.015	1:00.613	1:00.613
