Tournament	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	1R	1R	A	1R	4R	4R	3R	1R	3R	4R
French Open	1R	1R	1R	3R	2R	2R	A	A	1R	4R	4R
Wimbledon	A	A	1R	4R	1R	SF	4R	A	A	4R	4R
US Open	LQ	A	LQ	4R	4R	2R	1R	1R	4R	2R	4R
Win–Loss	0–1	0–2	0–3	8–3	4–4	10–4	6–3	2–2	3–3	9–4	12–4
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
ATP World Tour Finals	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	RR	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	A	A	A	4R	4R	4R	3R	1R	QF	2R
Miami Masters	A	1R	A	A	2R	3R	2R	A	1R	3R	4R
Monte Carlo Masters	2R	1R	LQ	SF	A	QF	3R	A	2R	3R	A
Madrid Masters 1	A	A	A	F	1R	2R	2R	A	A	1R	3R
Rome Masters	A	A	A	2R	A	2R	1R	3R	A	SF	QF
Canada Masters	A	A	A	2R	F	2R	QF	A	1R	3R	F
Cincinnati Masters	A	A	A	2R	1R	2R	2R	A	3R	3R	1R
Shanghai Masters 2	A	A	A	A	2R	2R	3R	1R	3R	A	2R
Paris Masters	LQ	1R	LQ	A	3R	SF	A	A	2R	3R	2R
Win–Loss	1–1	0–3	0–0	12–5	9–6	11–9	8–8	3–3	6–7	15–8	12–8
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–0	0–0	0–1	1–2	3–4	1–3	0–1	0–0	1–3	0–0	1–3
Hardcourt Win–Loss	0–0	2–5	4–4	7–4	14–12	29–13	18–13	19–13	20–14	19–12	27–15
Grass Win–Loss	0–1	0–0	0–2	11–2	6–2	7–3	6–3	0–0	2–0	3–1	4–3
Carpet Win–Loss	0–1	0–1	0–0	0–0	7–3	1–1	1–1	0–0	0–0	0–0	0–0
Clay Win–Loss	1–3	0–2	9–9	13–5	7–4	12–7	7–5	3–2	16–8	12–7	11–4
Overall Win–Loss	1–5	2–8	13–15	33–11	34–21	49–24	32–22	22–15	38–22	34–20	42–22
Win %	17%	20%	46%	75%	62%	67%	59%	59%	63%	63%	66%
Year End Ranking	161	93	107	16	18	8	24	52	30	19	10
