DVD title	Number of Episodes	Region 2	Region 4 (AU)	Region 1 (US)
Fan Favorites Collection	21	September 3, 2008	November 19, 2008	N/A
Best of Weddings	25	March 11, 2009	April 1, 2009	N/A
Most Shocking Moments	25 (AU) / 15 (US)	N/A	October 6, 2010	July 23, 2012
Catfights and Brawls	25	N/A	December 1, 2010	N/A
The Best of Brooke, Ridge & Taylor	25	N/A	March 2, 2011	N/A
How It All Began [Box 1]	25 (WW) / 16 (US)	April 29, 2011	December 3, 2012	November 6, 2012
How It All Began [Box 2]	25	October 14, 2011	May 1, 2013	TBA
How It All Began [Box 3]	25	February 17, 2012	TBA	TBA
How It All Began [Box 4]	25	April 27, 2012	TBA	TBA
How It All Began [Box 5]	25	August 3, 2012	TBA	TBA
How It All Began [Box 6]	25	November 23, 2012	TBA	TBA
How It All Began [Box 7]	25	November 23, 2012	TBA	TBA
How It All Began [Box 8]	25	Late-2013	TBA	TBA
How It All Began [Box 9]	25	Late-2013	TBA	TBA
