Player	No.	Nationality	Position	Years in Toronto	School/Club Team
John Wallace	44	United States	Forward	1997-99	Syracuse
Sonny Weems	24	United States	Guard	2009-2011	Arkansas
Donald Whiteside	12	United States	Guard	1996-97	Northern Illinois
Dwayne Whitfield	23	United States	Forward	1995-96	Jackson State
Aaron Williams	34	United States	Forward-Center	2004-05	Xavier (Ohio)
Alvin Williams	20	United States	Guard	1998-2006	Villanova
Eric Williams	17	United States	Forward	2004-06	Providence
Herb Williams	32	United States	Forward-Center	1996	Ohio State
Jerome Williams	13	United States	Forward	2001-03	Georgetown
Micheal Williams	14	United States	Guard	1998-99	Baylor
Walt Williams	42	United States	Guard-Forward	1996-98	Maryland
Corliss Williamson	35	United States	Forward	2000-01	Arkansas
Kevin Willis	42	United States	Center	1998-2001	Michigan State
Loren Woods	3	United States	Center	2004-06	Arizona
Haywoode Workman	3	United States	Guard	2000	Oral Roberts
Antoine Wright	21	United States	Guard-Forward	2009-10	Texas A&M
Julian Wright	14	United States	Small forward	2010-2011	Kansas
